
Generated transport data: t (600,), x (256,), usol (600, 256), c=40.0
Domain: x in [0.0, 6.283185307179586], t in [0.0, 1.0]
Constraint dimension M_CON = 1200
Fixed damping lambda = 1.0e-04
Residual scaling: (u_t + c*u_x)/sqrt(1+c^2)
Jitter: kind=gaussian, sigma_x=1.0e-04, sigma_t=0.0e+00
Derivative periodic BC: deleted. Constraint blocks: PDE=900, BC=100, IC=200
  iter |        obj |     pdeMSE |       feas |       PDE |        BC |        IC |      stat |     alpha |   stepInf |      lam |       kkt |     relL2
  9010 |  8.932e-08 |  8.932e-09 |  1.198e-09 |  3.43e-05 |  5.22e-05 |  2.32e-05 |  2.62e-03 |  5.08e-03 |  1.33e-05 |  1.0e-04 |  1.16e-11 |  7.41e-04
  9020 |  8.927e-08 |  8.926e-09 |  1.198e-09 |  3.43e-05 |  5.22e-05 |  2.32e-05 |  2.61e-03 |  5.08e-03 |  1.33e-05 |  1.0e-04 |  1.38e-11 |  7.41e-04
  9030 |  8.922e-08 |  8.921e-09 |  1.196e-09 |  3.43e-05 |  5.22e-05 |  2.32e-05 |  2.61e-03 |  5.07e-03 |  1.32e-05 |  1.0e-04 |  1.54e-11 |  7.41e-04
  9040 |  8.916e-08 |  8.915e-09 |  1.196e-09 |  3.42e-05 |  5.21e-05 |  2.32e-05 |  2.61e-03 |  5.07e-03 |  1.32e-05 |  1.0e-04 |  1.24e-11 |  7.41e-04
  9050 |  8.910e-08 |  8.910e-09 |  1.195e-09 |  3.42e-05 |  5.21e-05 |  2.32e-05 |  2.61e-03 |  5.07e-03 |  1.32e-05 |  1.0e-04 |  1.36e-11 |  7.41e-04
  9060 |  8.905e-08 |  8.904e-09 |  1.194e-09 |  3.42e-05 |  5.21e-05 |  2.31e-05 |  2.60e-03 |  5.06e-03 |  1.32e-05 |  1.0e-04 |  1.23e-11 |  7.41e-04
  9070 |  8.899e-08 |  8.899e-09 |  1.193e-09 |  3.42e-05 |  5.21e-05 |  2.31e-05 |  2.60e-03 |  5.06e-03 |  1.32e-05 |  1.0e-04 |  1.33e-11 |  7.40e-04
  9080 |  8.894e-08 |  8.893e-09 |  1.192e-09 |  3.42e-05 |  5.20e-05 |  2.31e-05 |  2.60e-03 |  5.06e-03 |  1.31e-05 |  1.0e-04 |  1.45e-11 |  7.40e-04
  9090 |  8.889e-08 |  8.888e-09 |  1.191e-09 |  3.42e-05 |  5.20e-05 |  2.31e-05 |  2.60e-03 |  5.05e-03 |  1.31e-05 |  1.0e-04 |  1.33e-11 |  7.40e-04
  9100 |  8.883e-08 |  8.882e-09 |  1.190e-09 |  3.42e-05 |  5.20e-05 |  2.31e-05 |  2.60e-03 |  5.05e-03 |  1.31e-05 |  1.0e-04 |  1.16e-11 |  7.40e-04
  9110 |  8.877e-08 |  8.877e-09 |  1.189e-09 |  3.42e-05 |  5.20e-05 |  2.31e-05 |  2.59e-03 |  5.05e-03 |  1.31e-05 |  1.0e-04 |  1.32e-11 |  7.40e-04
  9120 |  8.873e-08 |  8.872e-09 |  1.188e-09 |  3.41e-05 |  5.20e-05 |  2.31e-05 |  2.59e-03 |  5.04e-03 |  1.31e-05 |  1.0e-04 |  1.46e-11 |  7.40e-04
  9130 |  8.867e-08 |  8.866e-09 |  1.187e-09 |  3.41e-05 |  5.19e-05 |  2.31e-05 |  2.59e-03 |  5.04e-03 |  1.31e-05 |  1.0e-04 |  1.55e-11 |  7.40e-04
  9140 |  8.862e-08 |  8.861e-09 |  1.186e-09 |  3.41e-05 |  5.19e-05 |  2.31e-05 |  2.59e-03 |  5.04e-03 |  1.30e-05 |  1.0e-04 |  1.46e-11 |  7.40e-04
  9150 |  8.856e-08 |  8.855e-09 |  1.185e-09 |  3.41e-05 |  5.19e-05 |  2.31e-05 |  2.59e-03 |  5.03e-03 |  1.30e-05 |  1.0e-04 |  1.37e-11 |  7.39e-04
  9160 |  8.850e-08 |  8.850e-09 |  1.184e-09 |  3.41e-05 |  5.19e-05 |  2.30e-05 |  2.58e-03 |  5.03e-03 |  1.30e-05 |  1.0e-04 |  1.30e-11 |  7.39e-04
  9170 |  8.845e-08 |  8.845e-09 |  1.183e-09 |  3.41e-05 |  5.19e-05 |  2.30e-05 |  2.58e-03 |  5.03e-03 |  1.30e-05 |  1.0e-04 |  1.54e-11 |  7.39e-04
  9180 |  8.839e-08 |  8.839e-09 |  1.182e-09 |  3.41e-05 |  5.18e-05 |  2.30e-05 |  2.58e-03 |  5.02e-03 |  1.30e-05 |  1.0e-04 |  1.28e-11 |  7.39e-04
  9190 |  8.835e-08 |  8.834e-09 |  1.181e-09 |  3.40e-05 |  5.18e-05 |  2.30e-05 |  2.58e-03 |  5.02e-03 |  1.29e-05 |  1.0e-04 |  1.19e-11 |  7.39e-04
  9200 |  8.829e-08 |  8.829e-09 |  1.181e-09 |  3.40e-05 |  5.18e-05 |  2.30e-05 |  2.57e-03 |  5.02e-03 |  1.29e-05 |  1.0e-04 |  1.16e-11 |  7.39e-04
  9210 |  8.824e-08 |  8.823e-09 |  1.180e-09 |  3.40e-05 |  5.18e-05 |  2.30e-05 |  2.57e-03 |  5.02e-03 |  1.29e-05 |  1.0e-04 |  1.76e-11 |  7.39e-04
  9220 |  8.819e-08 |  8.818e-09 |  1.179e-09 |  3.40e-05 |  5.18e-05 |  2.30e-05 |  2.57e-03 |  5.01e-03 |  1.29e-05 |  1.0e-04 |  1.24e-11 |  7.38e-04
  9230 |  8.813e-08 |  8.812e-09 |  1.178e-09 |  3.40e-05 |  5.17e-05 |  2.30e-05 |  2.57e-03 |  5.01e-03 |  1.29e-05 |  1.0e-04 |  1.29e-11 |  7.38e-04
  9240 |  8.807e-08 |  8.807e-09 |  1.177e-09 |  3.40e-05 |  5.17e-05 |  2.30e-05 |  2.57e-03 |  5.01e-03 |  1.28e-05 |  1.0e-04 |  1.12e-11 |  7.38e-04
  9250 |  8.802e-08 |  8.802e-09 |  1.176e-09 |  3.40e-05 |  5.17e-05 |  2.29e-05 |  2.56e-03 |  5.00e-03 |  1.28e-05 |  1.0e-04 |  1.31e-11 |  7.38e-04
  9260 |  8.797e-08 |  8.797e-09 |  1.175e-09 |  3.40e-05 |  5.17e-05 |  2.29e-05 |  2.56e-03 |  5.00e-03 |  1.28e-05 |  1.0e-04 |  1.36e-11 |  7.38e-04
  9270 |  8.792e-08 |  8.791e-09 |  1.174e-09 |  3.39e-05 |  5.17e-05 |  2.29e-05 |  2.56e-03 |  5.00e-03 |  1.28e-05 |  1.0e-04 |  1.57e-11 |  7.38e-04
  9280 |  8.787e-08 |  8.786e-09 |  1.173e-09 |  3.39e-05 |  5.16e-05 |  2.29e-05 |  2.56e-03 |  4.99e-03 |  1.28e-05 |  1.0e-04 |  1.40e-11 |  7.38e-04
  9290 |  8.781e-08 |  8.781e-09 |  1.172e-09 |  3.39e-05 |  5.16e-05 |  2.29e-05 |  2.56e-03 |  4.99e-03 |  1.28e-05 |  1.0e-04 |  1.34e-11 |  7.38e-04
  9300 |  8.776e-08 |  8.775e-09 |  1.172e-09 |  3.39e-05 |  5.16e-05 |  2.29e-05 |  2.55e-03 |  4.99e-03 |  1.27e-05 |  1.0e-04 |  1.27e-11 |  7.37e-04
  9310 |  8.771e-08 |  8.770e-09 |  1.170e-09 |  3.39e-05 |  5.16e-05 |  2.29e-05 |  2.55e-03 |  4.98e-03 |  1.27e-05 |  1.0e-04 |  1.56e-11 |  7.37e-04
  9320 |  8.765e-08 |  8.765e-09 |  1.170e-09 |  3.39e-05 |  5.16e-05 |  2.29e-05 |  2.55e-03 |  4.98e-03 |  1.27e-05 |  1.0e-04 |  1.09e-11 |  7.37e-04
  9330 |  8.760e-08 |  8.760e-09 |  1.169e-09 |  3.39e-05 |  5.15e-05 |  2.29e-05 |  2.55e-03 |  4.98e-03 |  1.27e-05 |  1.0e-04 |  1.52e-11 |  7.37e-04
  9340 |  8.755e-08 |  8.754e-09 |  1.168e-09 |  3.39e-05 |  5.15e-05 |  2.29e-05 |  2.55e-03 |  4.97e-03 |  1.27e-05 |  1.0e-04 |  1.10e-11 |  7.37e-04
  9350 |  8.750e-08 |  8.749e-09 |  1.167e-09 |  3.38e-05 |  5.15e-05 |  2.28e-05 |  2.54e-03 |  4.97e-03 |  1.26e-05 |  1.0e-04 |  1.77e-11 |  7.37e-04
  9360 |  8.744e-08 |  8.744e-09 |  1.166e-09 |  3.38e-05 |  5.15e-05 |  2.28e-05 |  2.54e-03 |  4.97e-03 |  1.26e-05 |  1.0e-04 |  1.23e-11 |  7.37e-04
  9370 |  8.739e-08 |  8.739e-09 |  1.165e-09 |  3.38e-05 |  5.15e-05 |  2.28e-05 |  2.54e-03 |  4.96e-03 |  1.26e-05 |  1.0e-04 |  1.51e-11 |  7.37e-04
  9380 |  8.734e-08 |  8.734e-09 |  1.164e-09 |  3.38e-05 |  5.14e-05 |  2.28e-05 |  2.54e-03 |  4.96e-03 |  1.26e-05 |  1.0e-04 |  1.31e-11 |  7.36e-04
  9390 |  8.729e-08 |  8.728e-09 |  1.163e-09 |  3.38e-05 |  5.14e-05 |  2.28e-05 |  2.53e-03 |  4.96e-03 |  1.26e-05 |  1.0e-04 |  1.19e-11 |  7.36e-04
  9400 |  8.723e-08 |  8.723e-09 |  1.162e-09 |  3.38e-05 |  5.14e-05 |  2.28e-05 |  2.53e-03 |  4.96e-03 |  1.26e-05 |  1.0e-04 |  1.27e-11 |  7.36e-04
  9410 |  8.718e-08 |  8.718e-09 |  1.162e-09 |  3.38e-05 |  5.14e-05 |  2.28e-05 |  2.53e-03 |  4.95e-03 |  1.25e-05 |  1.0e-04 |  1.41e-11 |  7.36e-04
  9420 |  8.713e-08 |  8.713e-09 |  1.161e-09 |  3.38e-05 |  5.14e-05 |  2.28e-05 |  2.53e-03 |  4.95e-03 |  1.25e-05 |  1.0e-04 |  1.37e-11 |  7.36e-04
  9430 |  8.708e-08 |  8.708e-09 |  1.160e-09 |  3.37e-05 |  5.13e-05 |  2.28e-05 |  2.53e-03 |  4.95e-03 |  1.25e-05 |  1.0e-04 |  1.33e-11 |  7.36e-04
  9440 |  8.703e-08 |  8.703e-09 |  1.159e-09 |  3.37e-05 |  5.13e-05 |  2.28e-05 |  2.53e-03 |  4.94e-03 |  1.25e-05 |  1.0e-04 |  1.26e-11 |  7.36e-04
  9450 |  8.698e-08 |  8.698e-09 |  1.158e-09 |  3.37e-05 |  5.13e-05 |  2.28e-05 |  2.52e-03 |  4.94e-03 |  1.25e-05 |  1.0e-04 |  9.80e-12 |  7.36e-04
  9460 |  8.693e-08 |  8.692e-09 |  1.157e-09 |  3.37e-05 |  5.13e-05 |  2.27e-05 |  2.52e-03 |  4.94e-03 |  1.24e-05 |  1.0e-04 |  1.35e-11 |  7.35e-04
  9470 |  8.688e-08 |  8.687e-09 |  1.156e-09 |  3.37e-05 |  5.13e-05 |  2.27e-05 |  2.52e-03 |  4.93e-03 |  1.24e-05 |  1.0e-04 |  1.27e-11 |  7.35e-04
  9480 |  8.683e-08 |  8.682e-09 |  1.156e-09 |  3.37e-05 |  5.12e-05 |  2.27e-05 |  2.52e-03 |  4.93e-03 |  1.24e-05 |  1.0e-04 |  1.23e-11 |  7.35e-04
  9490 |  8.677e-08 |  8.677e-09 |  1.155e-09 |  3.37e-05 |  5.12e-05 |  2.27e-05 |  2.52e-03 |  4.93e-03 |  1.24e-05 |  1.0e-04 |  1.56e-11 |  7.35e-04
  9500 |  8.672e-08 |  8.672e-09 |  1.154e-09 |  3.37e-05 |  5.12e-05 |  2.27e-05 |  2.51e-03 |  4.92e-03 |  1.24e-05 |  1.0e-04 |  1.61e-11 |  7.35e-04
  9510 |  8.667e-08 |  8.667e-09 |  1.153e-09 |  3.36e-05 |  5.12e-05 |  2.27e-05 |  2.51e-03 |  4.92e-03 |  1.24e-05 |  1.0e-04 |  1.55e-11 |  7.35e-04
  9520 |  8.662e-08 |  8.662e-09 |  1.152e-09 |  3.36e-05 |  5.12e-05 |  2.27e-05 |  2.51e-03 |  4.92e-03 |  1.23e-05 |  1.0e-04 |  1.43e-11 |  7.35e-04
  9530 |  8.657e-08 |  8.657e-09 |  1.151e-09 |  3.36e-05 |  5.11e-05 |  2.27e-05 |  2.51e-03 |  4.92e-03 |  1.23e-05 |  1.0e-04 |  1.24e-11 |  7.35e-04
  9540 |  8.652e-08 |  8.652e-09 |  1.150e-09 |  3.36e-05 |  5.11e-05 |  2.26e-05 |  2.51e-03 |  4.91e-03 |  1.23e-05 |  1.0e-04 |  2.11e-11 |  7.34e-04
  9550 |  8.647e-08 |  8.647e-09 |  1.149e-09 |  3.36e-05 |  5.11e-05 |  2.26e-05 |  2.50e-03 |  4.91e-03 |  1.23e-05 |  1.0e-04 |  1.21e-11 |  7.34e-04
  9560 |  8.642e-08 |  8.642e-09 |  1.149e-09 |  3.36e-05 |  5.11e-05 |  2.26e-05 |  2.50e-03 |  4.91e-03 |  1.23e-05 |  1.0e-04 |  1.47e-11 |  7.34e-04
  9570 |  8.637e-08 |  8.637e-09 |  1.148e-09 |  3.36e-05 |  5.11e-05 |  2.26e-05 |  2.50e-03 |  4.90e-03 |  1.23e-05 |  1.0e-04 |  1.77e-11 |  7.34e-04
  9580 |  8.632e-08 |  8.632e-09 |  1.147e-09 |  3.36e-05 |  5.10e-05 |  2.26e-05 |  2.50e-03 |  4.90e-03 |  1.22e-05 |  1.0e-04 |  1.58e-11 |  7.34e-04
  9590 |  8.627e-08 |  8.627e-09 |  1.146e-09 |  3.35e-05 |  5.10e-05 |  2.26e-05 |  2.50e-03 |  4.90e-03 |  1.22e-05 |  1.0e-04 |  1.70e-11 |  7.34e-04
  9600 |  8.622e-08 |  8.622e-09 |  1.145e-09 |  3.35e-05 |  5.10e-05 |  2.26e-05 |  2.49e-03 |  4.89e-03 |  1.22e-05 |  1.0e-04 |  1.57e-11 |  7.34e-04
  9610 |  8.617e-08 |  8.616e-09 |  1.144e-09 |  3.35e-05 |  5.10e-05 |  2.26e-05 |  2.49e-03 |  4.89e-03 |  1.22e-05 |  1.0e-04 |  1.91e-11 |  7.34e-04
  9620 |  8.612e-08 |  8.611e-09 |  1.144e-09 |  3.35e-05 |  5.10e-05 |  2.26e-05 |  2.49e-03 |  4.89e-03 |  1.22e-05 |  1.0e-04 |  1.68e-11 |  7.33e-04
  9630 |  8.607e-08 |  8.606e-09 |  1.143e-09 |  3.35e-05 |  5.10e-05 |  2.26e-05 |  2.49e-03 |  4.89e-03 |  1.22e-05 |  1.0e-04 |  1.43e-11 |  7.33e-04
  9640 |  8.602e-08 |  8.601e-09 |  1.142e-09 |  3.35e-05 |  5.09e-05 |  2.25e-05 |  2.49e-03 |  4.88e-03 |  1.21e-05 |  1.0e-04 |  1.63e-11 |  7.33e-04
  9650 |  8.597e-08 |  8.597e-09 |  1.141e-09 |  3.35e-05 |  5.09e-05 |  2.25e-05 |  2.48e-03 |  4.88e-03 |  1.21e-05 |  1.0e-04 |  1.38e-11 |  7.33e-04
  9660 |  8.592e-08 |  8.592e-09 |  1.140e-09 |  3.35e-05 |  5.09e-05 |  2.25e-05 |  2.48e-03 |  4.88e-03 |  1.21e-05 |  1.0e-04 |  1.98e-11 |  7.33e-04
  9670 |  8.587e-08 |  8.587e-09 |  1.139e-09 |  3.35e-05 |  5.09e-05 |  2.25e-05 |  2.48e-03 |  4.87e-03 |  1.21e-05 |  1.0e-04 |  1.58e-11 |  7.33e-04
  9680 |  8.583e-08 |  8.582e-09 |  1.139e-09 |  3.34e-05 |  5.09e-05 |  2.25e-05 |  2.48e-03 |  4.87e-03 |  1.21e-05 |  1.0e-04 |  1.72e-11 |  7.33e-04
  9690 |  8.577e-08 |  8.577e-09 |  1.138e-09 |  3.34e-05 |  5.08e-05 |  2.25e-05 |  2.48e-03 |  4.87e-03 |  1.21e-05 |  1.0e-04 |  1.23e-11 |  7.33e-04
  9700 |  8.572e-08 |  8.572e-09 |  1.137e-09 |  3.34e-05 |  5.08e-05 |  2.25e-05 |  2.47e-03 |  4.86e-03 |  1.20e-05 |  1.0e-04 |  1.32e-11 |  7.32e-04
  9710 |  8.567e-08 |  8.567e-09 |  1.136e-09 |  3.34e-05 |  5.08e-05 |  2.25e-05 |  2.47e-03 |  4.86e-03 |  1.20e-05 |  1.0e-04 |  1.86e-11 |  7.32e-04
  9720 |  8.562e-08 |  8.562e-09 |  1.135e-09 |  3.34e-05 |  5.08e-05 |  2.25e-05 |  2.47e-03 |  4.86e-03 |  1.20e-05 |  1.0e-04 |  1.50e-11 |  7.32e-04
  9730 |  8.557e-08 |  8.557e-09 |  1.135e-09 |  3.34e-05 |  5.08e-05 |  2.25e-05 |  2.47e-03 |  4.86e-03 |  1.20e-05 |  1.0e-04 |  1.50e-11 |  7.32e-04
  9740 |  8.553e-08 |  8.552e-09 |  1.134e-09 |  3.34e-05 |  5.07e-05 |  2.25e-05 |  2.47e-03 |  4.85e-03 |  1.20e-05 |  1.0e-04 |  1.53e-11 |  7.32e-04
  9750 |  8.547e-08 |  8.547e-09 |  1.133e-09 |  3.34e-05 |  5.07e-05 |  2.24e-05 |  2.47e-03 |  4.85e-03 |  1.20e-05 |  1.0e-04 |  2.07e-11 |  7.32e-04
  9760 |  8.543e-08 |  8.542e-09 |  1.132e-09 |  3.33e-05 |  5.07e-05 |  2.25e-05 |  2.46e-03 |  4.85e-03 |  1.19e-05 |  1.0e-04 |  1.25e-11 |  7.32e-04
  9770 |  8.538e-08 |  8.537e-09 |  1.131e-09 |  3.33e-05 |  5.07e-05 |  2.25e-05 |  2.46e-03 |  4.84e-03 |  1.19e-05 |  1.0e-04 |  1.55e-11 |  7.32e-04
  9780 |  8.533e-08 |  8.533e-09 |  1.130e-09 |  3.33e-05 |  5.07e-05 |  2.24e-05 |  2.46e-03 |  4.84e-03 |  1.19e-05 |  1.0e-04 |  1.44e-11 |  7.31e-04
  9790 |  8.528e-08 |  8.528e-09 |  1.130e-09 |  3.33e-05 |  5.07e-05 |  2.24e-05 |  2.46e-03 |  4.84e-03 |  1.19e-05 |  1.0e-04 |  1.69e-11 |  7.31e-04
  9800 |  8.524e-08 |  8.523e-09 |  1.129e-09 |  3.33e-05 |  5.06e-05 |  2.24e-05 |  2.46e-03 |  4.84e-03 |  1.19e-05 |  1.0e-04 |  1.53e-11 |  7.31e-04
  9810 |  8.519e-08 |  8.518e-09 |  1.128e-09 |  3.33e-05 |  5.06e-05 |  2.24e-05 |  2.45e-03 |  4.83e-03 |  1.19e-05 |  1.0e-04 |  1.66e-11 |  7.31e-04
  9820 |  8.514e-08 |  8.513e-09 |  1.127e-09 |  3.33e-05 |  5.06e-05 |  2.24e-05 |  2.45e-03 |  4.83e-03 |  1.18e-05 |  1.0e-04 |  1.68e-11 |  7.31e-04
  9830 |  8.509e-08 |  8.509e-09 |  1.126e-09 |  3.33e-05 |  5.06e-05 |  2.24e-05 |  2.45e-03 |  4.83e-03 |  1.18e-05 |  1.0e-04 |  1.69e-11 |  7.31e-04
  9840 |  8.504e-08 |  8.504e-09 |  1.125e-09 |  3.32e-05 |  5.06e-05 |  2.24e-05 |  2.45e-03 |  4.82e-03 |  1.18e-05 |  1.0e-04 |  1.83e-11 |  7.31e-04
  9850 |  8.499e-08 |  8.499e-09 |  1.125e-09 |  3.32e-05 |  5.05e-05 |  2.24e-05 |  2.45e-03 |  4.82e-03 |  1.18e-05 |  1.0e-04 |  1.41e-11 |  7.31e-04
  9860 |  8.495e-08 |  8.494e-09 |  1.124e-09 |  3.32e-05 |  5.05e-05 |  2.23e-05 |  2.45e-03 |  4.82e-03 |  1.18e-05 |  1.0e-04 |  1.54e-11 |  7.30e-04
  9870 |  8.490e-08 |  8.489e-09 |  1.123e-09 |  3.32e-05 |  5.05e-05 |  2.23e-05 |  2.44e-03 |  4.82e-03 |  1.18e-05 |  1.0e-04 |  1.46e-11 |  7.30e-04
  9880 |  8.485e-08 |  8.485e-09 |  1.122e-09 |  3.32e-05 |  5.05e-05 |  2.23e-05 |  2.44e-03 |  4.81e-03 |  1.17e-05 |  1.0e-04 |  1.64e-11 |  7.30e-04
  9890 |  8.480e-08 |  8.480e-09 |  1.122e-09 |  3.32e-05 |  5.05e-05 |  2.23e-05 |  2.44e-03 |  4.81e-03 |  1.17e-05 |  1.0e-04 |  1.42e-11 |  7.30e-04
  9900 |  8.476e-08 |  8.475e-09 |  1.121e-09 |  3.32e-05 |  5.05e-05 |  2.23e-05 |  2.44e-03 |  4.81e-03 |  1.17e-05 |  1.0e-04 |  1.80e-11 |  7.30e-04
  9910 |  8.471e-08 |  8.470e-09 |  1.120e-09 |  3.32e-05 |  5.04e-05 |  2.23e-05 |  2.44e-03 |  4.80e-03 |  1.17e-05 |  1.0e-04 |  1.70e-11 |  7.30e-04
  9920 |  8.466e-08 |  8.466e-09 |  1.119e-09 |  3.32e-05 |  5.04e-05 |  2.23e-05 |  2.43e-03 |  4.80e-03 |  1.17e-05 |  1.0e-04 |  2.34e-11 |  7.30e-04
  9930 |  8.461e-08 |  8.461e-09 |  1.118e-09 |  3.31e-05 |  5.04e-05 |  2.23e-05 |  2.43e-03 |  4.80e-03 |  1.17e-05 |  1.0e-04 |  2.29e-11 |  7.30e-04
  9940 |  8.457e-08 |  8.456e-09 |  1.118e-09 |  3.31e-05 |  5.04e-05 |  2.23e-05 |  2.43e-03 |  4.80e-03 |  1.17e-05 |  1.0e-04 |  2.19e-11 |  7.30e-04
  9950 |  8.452e-08 |  8.451e-09 |  1.117e-09 |  3.31e-05 |  5.04e-05 |  2.23e-05 |  2.43e-03 |  4.79e-03 |  1.16e-05 |  1.0e-04 |  1.63e-11 |  7.29e-04
  9960 |  8.447e-08 |  8.447e-09 |  1.116e-09 |  3.31e-05 |  5.03e-05 |  2.23e-05 |  2.43e-03 |  4.79e-03 |  1.16e-05 |  1.0e-04 |  1.90e-11 |  7.29e-04
  9970 |  8.442e-08 |  8.442e-09 |  1.115e-09 |  3.31e-05 |  5.03e-05 |  2.22e-05 |  2.43e-03 |  4.79e-03 |  1.16e-05 |  1.0e-04 |  1.19e-11 |  7.29e-04
  9980 |  8.437e-08 |  8.437e-09 |  1.115e-09 |  3.31e-05 |  5.03e-05 |  2.22e-05 |  2.42e-03 |  4.78e-03 |  1.16e-05 |  1.0e-04 |  1.47e-11 |  7.29e-04
  9990 |  8.433e-08 |  8.433e-09 |  1.114e-09 |  3.31e-05 |  5.03e-05 |  2.22e-05 |  2.42e-03 |  4.78e-03 |  1.16e-05 |  1.0e-04 |  1.29e-11 |  7.29e-04
 10000 |  8.428e-08 |  8.428e-09 |  1.113e-09 |  3.31e-05 |  5.03e-05 |  2.22e-05 |  2.42e-03 |  4.78e-03 |  1.16e-05 |  1.0e-04 |  1.99e-11 |  7.29e-04
[done] elapsed=2387.21s
Saved theta -> theta_transport_c60_stosqp_fixed_damp.npy
[EVAL] full-grid MSE=2.656e-07, relL2=7.288e-04
Saved heatmaps -> transport_c60_stosqp_fixed_damp_heatmaps.png
