
Generated transport data: t (600,), x (256,), usol (600, 256), c=40.0
Domain: x in [0.0, 6.283185307179586], t in [0.0, 1.0]
Constraint dimension M_CON = 1200
Fixed damping lambda = 1.0e-04
Residual scaling: (u_t + c*u_x)/sqrt(1+c^2)
Jitter: kind=gaussian, sigma_x=1.0e-03, sigma_t=0.0e+00
Derivative periodic BC: deleted. Constraint blocks: PDE=900, BC=100, IC=200
  iter |        obj |     pdeMSE |       feas |       PDE |        BC |        IC |      stat |     alpha |   stepInf |      lam |       kkt |     relL2
   230 |  2.072e-06 |  1.839e-07 |  3.256e-07 |  3.35e-04 |  1.20e-03 |  8.51e-04 |  4.55e-02 |  1.33e-01 |  6.08e-03 |  1.0e-04 |  8.36e-11 |  2.62e-03
   240 |  9.641e-07 |  9.234e-08 |  8.361e-08 |  1.98e-04 |  6.36e-04 |  3.50e-04 |  3.55e-02 |  7.43e-02 |  2.64e-03 |  1.0e-04 |  7.86e-11 |  1.68e-03
   250 |  7.150e-07 |  7.012e-08 |  4.322e-08 |  1.56e-04 |  4.58e-04 |  2.11e-04 |  3.12e-02 |  4.55e-02 |  1.42e-03 |  1.0e-04 |  8.46e-11 |  1.45e-03
   260 |  6.155e-07 |  6.089e-08 |  3.033e-08 |  1.38e-04 |  3.81e-04 |  1.54e-04 |  2.89e-02 |  3.07e-02 |  8.86e-04 |  1.0e-04 |  8.20e-11 |  1.35e-03
   270 |  5.621e-07 |  5.579e-08 |  2.455e-08 |  1.28e-04 |  3.40e-04 |  1.25e-04 |  2.73e-02 |  2.50e-02 |  6.84e-04 |  1.0e-04 |  7.42e-11 |  1.30e-03
   280 |  5.273e-07 |  5.244e-08 |  2.131e-08 |  1.22e-04 |  3.14e-04 |  1.07e-04 |  2.62e-02 |  2.04e-02 |  5.35e-04 |  1.0e-04 |  8.39e-11 |  1.27e-03
   290 |  5.023e-07 |  5.001e-08 |  1.926e-08 |  1.18e-04 |  2.97e-04 |  9.55e-05 |  2.53e-02 |  1.67e-02 |  4.22e-04 |  1.0e-04 |  5.99e-11 |  1.25e-03
   300 |  4.829e-07 |  4.812e-08 |  1.783e-08 |  1.14e-04 |  2.85e-04 |  8.71e-05 |  2.46e-02 |  1.50e-02 |  3.68e-04 |  1.0e-04 |  4.84e-11 |  1.24e-03
   310 |  4.672e-07 |  4.658e-08 |  1.678e-08 |  1.12e-04 |  2.75e-04 |  8.17e-05 |  2.39e-02 |  1.35e-02 |  3.22e-04 |  1.0e-04 |  7.08e-11 |  1.22e-03
   320 |  4.538e-07 |  4.526e-08 |  1.595e-08 |  1.09e-04 |  2.68e-04 |  7.73e-05 |  2.34e-02 |  1.33e-02 |  3.11e-04 |  1.0e-04 |  6.45e-11 |  1.21e-03
   330 |  4.425e-07 |  4.415e-08 |  1.530e-08 |  1.08e-04 |  2.61e-04 |  7.45e-05 |  2.29e-02 |  1.19e-02 |  2.74e-04 |  1.0e-04 |  6.41e-11 |  1.20e-03
   340 |  4.324e-07 |  4.315e-08 |  1.475e-08 |  1.06e-04 |  2.56e-04 |  7.18e-05 |  2.25e-02 |  1.07e-02 |  2.41e-04 |  1.0e-04 |  7.41e-11 |  1.20e-03
   350 |  4.235e-07 |  4.227e-08 |  1.428e-08 |  1.05e-04 |  2.52e-04 |  6.96e-05 |  2.21e-02 |  1.06e-02 |  2.34e-04 |  1.0e-04 |  6.10e-11 |  1.19e-03
   360 |  4.152e-07 |  4.144e-08 |  1.387e-08 |  1.03e-04 |  2.48e-04 |  6.81e-05 |  2.17e-02 |  1.05e-02 |  2.28e-04 |  1.0e-04 |  6.32e-11 |  1.18e-03
   370 |  4.074e-07 |  4.066e-08 |  1.349e-08 |  1.02e-04 |  2.44e-04 |  6.60e-05 |  2.13e-02 |  1.04e-02 |  2.21e-04 |  1.0e-04 |  5.82e-11 |  1.18e-03
   380 |  4.005e-07 |  3.999e-08 |  1.319e-08 |  1.01e-04 |  2.41e-04 |  6.56e-05 |  2.10e-02 |  9.36e-03 |  1.96e-04 |  1.0e-04 |  4.67e-11 |  1.17e-03
   390 |  3.941e-07 |  3.935e-08 |  1.290e-08 |  9.99e-05 |  2.38e-04 |  6.43e-05 |  2.07e-02 |  9.26e-03 |  1.91e-04 |  1.0e-04 |  7.51e-11 |  1.17e-03
   400 |  3.880e-07 |  3.874e-08 |  1.263e-08 |  9.90e-05 |  2.36e-04 |  6.30e-05 |  2.04e-02 |  9.17e-03 |  1.87e-04 |  1.0e-04 |  7.52e-11 |  1.16e-03
