iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bc_mse,ic_mse,pde_rms,bc_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2
310,4.672e-07,4.658e-08,1.678e-08,1.2544e-08,7.5625e-08,6.674889999999999e-09,0.000112,0.000275,8.17e-05,0.0239,0.0135,0.000322,0.0001,7.08e-11,0.00122
320,4.538e-07,4.526e-08,1.595e-08,1.1881e-08,7.182400000000001e-08,5.9752899999999995e-09,0.000109,0.000268,7.73e-05,0.0234,0.0133,0.000311,0.0001,6.45e-11,0.00121
330,4.425e-07,4.415e-08,1.53e-08,1.1664e-08,6.8121e-08,5.5502499999999995e-09,0.000108,0.000261,7.45e-05,0.0229,0.0119,0.000274,0.0001,6.41e-11,0.0012
340,4.324e-07,4.315e-08,1.475e-08,1.1236e-08,6.5536e-08,5.155239999999999e-09,0.000106,0.000256,7.18e-05,0.0225,0.0107,0.000241,0.0001,7.41e-11,0.0012
350,4.235e-07,4.227e-08,1.428e-08,1.1025000000000001e-08,6.3504e-08,4.84416e-09,0.000105,0.000252,6.96e-05,0.0221,0.0106,0.000234,0.0001,6.1e-11,0.00119
360,4.152e-07,4.144e-08,1.387e-08,1.0609e-08,6.1504e-08,4.6376100000000005e-09,0.000103,0.000248,6.81e-05,0.0217,0.0105,0.000228,0.0001,6.32e-11,0.00118
370,4.074e-07,4.066e-08,1.349e-08,1.0404e-08,5.9536e-08,4.356e-09,0.000102,0.000244,6.6e-05,0.0213,0.0104,0.000221,0.0001,5.82e-11,0.00118
380,4.005e-07,3.999e-08,1.319e-08,1.0201e-08,5.8081e-08,4.3033599999999995e-09,0.000101,0.000241,6.56e-05,0.021,0.00936,0.000196,0.0001,4.67e-11,0.00117
390,3.941e-07,3.935e-08,1.29e-08,9.98001e-09,5.664400000000001e-08,4.134490000000001e-09,9.99e-05,0.000238,6.43e-05,0.0207,0.00926,0.000191,0.0001,7.51e-11,0.00117
400,3.88e-07,3.874e-08,1.263e-08,9.801e-09,5.5696e-08,3.969e-09,9.9e-05,0.000236,6.3e-05,0.0204,0.00917,0.000187,0.0001,7.52e-11,0.00116
410,3.821e-07,3.816e-08,1.238e-08,9.62361e-09,5.4289e-08,3.856410000000001e-09,9.81e-05,0.000233,6.21e-05,0.0201,0.00908,0.000182,0.0001,6.27e-11,0.00116
420,3.765e-07,3.76e-08,1.216e-08,9.447840000000002e-09,5.3361000000000004e-08,3.83161e-09,9.72e-05,0.000231,6.19e-05,0.0198,0.00899,0.000178,0.0001,7.05e-11,0.00115
430,3.712e-07,3.706e-08,1.194e-08,9.27369e-09,5.1984000000000004e-08,3.8068899999999995e-09,9.63e-05,0.000228,6.17e-05,0.0195,0.0089,0.000174,0.0001,6.14e-11,0.00115
440,3.661e-07,3.656e-08,1.173e-08,9.13936e-09,5.1075999999999994e-08,3.68449e-09,9.56e-05,0.000226,6.07e-05,0.0193,0.00882,0.00017,0.0001,5.84e-11,0.00114
450,3.612e-07,3.607e-08,1.154e-08,8.987040000000001e-09,5.0176e-08,3.6360900000000004e-09,9.48e-05,0.000224,6.03e-05,0.019,0.00874,0.000166,0.0001,8.08e-11,0.00114
460,3.563e-07,3.559e-08,1.136e-08,8.835999999999999e-09,4.9284e-08,3.6481599999999995e-09,9.4e-05,0.000222,6.04e-05,0.0188,0.00866,0.000162,0.0001,6.4e-11,0.00114
470,3.519e-07,3.514e-08,1.117e-08,8.70489e-09,4.8841e-08,3.52836e-09,9.33e-05,0.000221,5.94e-05,0.0185,0.00858,0.000159,0.0001,6.1e-11,0.00113
480,3.474e-07,3.47e-08,1.1e-08,8.57476e-09,4.7961e-08,3.5046400000000004e-09,9.26e-05,0.000219,5.92e-05,0.0183,0.0085,0.000155,0.0001,6.82e-11,0.00113
490,3.432e-07,3.428e-08,1.084e-08,8.44561e-09,4.708899999999999e-08,3.45744e-09,9.19e-05,0.000217,5.88e-05,0.0181,0.00843,0.000152,0.0001,4.83e-11,0.00112
500,3.392e-07,3.388e-08,1.07e-08,8.33569e-09,4.6656e-08,3.5046400000000004e-09,9.13e-05,0.000216,5.92e-05,0.0178,0.00836,0.000149,0.0001,5.02e-11,0.00112
510,3.353e-07,3.349e-08,1.055e-08,8.22649e-09,4.5796e-08,3.43396e-09,9.07e-05,0.000214,5.86e-05,0.0176,0.00829,0.000146,0.0001,4.9e-11,0.00112
520,3.314e-07,3.311e-08,1.041e-08,8.118009999999999e-09,4.4944e-08,3.38724e-09,9.01e-05,0.000212,5.82e-05,0.0174,0.00822,0.000143,0.0001,6.79e-11,0.00112
530,3.278e-07,3.274e-08,1.027e-08,7.99236e-09,4.4521000000000005e-08,3.3524099999999996e-09,8.94e-05,0.000211,5.79e-05,0.0172,0.00815,0.00014,0.0001,4.68e-11,0.00111
540,3.241e-07,3.237e-08,1.012e-08,7.88544e-09,4.3681000000000006e-08,3.3062500000000002e-09,8.88e-05,0.000209,5.75e-05,0.017,0.00889,0.000152,0.0001,4.53e-11,0.00111
550,3.204e-07,3.2e-08,9.991e-09,7.77924e-09,4.3263999999999996e-08,3.3062500000000002e-09,8.82e-05,0.000208,5.75e-05,0.0169,0.00882,0.000149,0.0001,5.03e-11,0.00111
560,3.168e-07,3.164e-08,9.845e-09,7.673760000000001e-09,4.2436e-08,3.26041e-09,8.76e-05,0.000206,5.71e-05,0.0166,0.00875,0.000146,0.0001,5.82e-11,0.0011
570,3.133e-07,3.129e-08,9.722e-09,7.586410000000001e-09,4.2025e-08,3.23761e-09,8.71e-05,0.000205,5.69e-05,0.0165,0.00868,0.000143,0.0001,4.65e-11,0.0011
580,3.098e-07,3.095e-08,9.596e-09,7.48225e-09,4.1209e-08,3.23761e-09,8.65e-05,0.000203,5.69e-05,0.0163,0.00862,0.00014,0.0001,5.4e-11,0.0011
590,3.066e-07,3.063e-08,9.462e-09,7.37881e-09,4.0804e-08,3.18096e-09,8.59e-05,0.000202,5.64e-05,0.0161,0.00855,0.000137,0.0001,4.58e-11,0.00109
600,3.034e-07,3.031e-08,9.357e-09,7.29316e-09,4.0401000000000006e-08,3.1922499999999996e-09,8.54e-05,0.000201,5.65e-05,0.0159,0.00849,0.000135,0.0001,4.93e-11,0.00109
610,3.003e-07,3e-08,9.237e-09,7.19104e-09,3.9601000000000005e-08,3.16969e-09,8.48e-05,0.000199,5.63e-05,0.0157,0.00842,0.000132,0.0001,4.72e-11,0.00109
620,2.974e-07,2.97e-08,9.133e-09,7.106490000000001e-09,3.9204e-08,3.16969e-09,8.43e-05,0.000198,5.63e-05,0.0156,0.00836,0.00013,0.0001,4.83e-11,0.00109
630,2.944e-07,2.942e-08,9.022e-09,7.02244e-09,3.8808999999999994e-08,3.16969e-09,8.38e-05,0.000197,5.63e-05,0.0154,0.0083,0.000128,0.0001,4.86e-11,0.00108
640,2.917e-07,2.914e-08,8.912e-09,6.938890000000001e-09,3.8025e-08,3.11364e-09,8.33e-05,0.000195,5.58e-05,0.0152,0.00824,0.000126,0.0001,5.44e-11,0.00108
650,2.89e-07,2.887e-08,8.805e-09,6.855839999999999e-09,3.7636e-08,3.08025e-09,8.28e-05,0.000194,5.55e-05,0.0151,0.00818,0.000123,0.0001,5.17e-11,0.00108
660,2.863e-07,2.86e-08,8.713e-09,6.7897599999999995e-09,3.7249e-08,3.11364e-09,8.24e-05,0.000193,5.58e-05,0.0149,0.00813,0.000121,0.0001,5.94e-11,0.00108
670,2.837e-07,2.835e-08,8.603e-09,6.70761e-09,3.6864000000000005e-08,3.01401e-09,8.19e-05,0.000192,5.49e-05,0.0148,0.00807,0.000119,0.0001,5.6e-11,0.00107
680,2.812e-07,2.81e-08,8.524e-09,6.64225e-09,3.6481e-08,3.08025e-09,8.15e-05,0.000191,5.55e-05,0.0147,0.00801,0.000117,0.0001,5.81e-11,0.00107
690,2.788e-07,2.786e-08,8.432e-09,6.577210000000001e-09,3.6100000000000006e-08,3.04704e-09,8.11e-05,0.00019,5.52e-05,0.0145,0.00796,0.000116,0.0001,4.83e-11,0.00107
700,2.765e-07,2.762e-08,8.334e-09,6.496359999999999e-09,3.5343999999999995e-08,2.99209e-09,8.06e-05,0.000188,5.47e-05,0.0144,0.00791,0.000114,0.0001,5.38e-11,0.00107
710,2.742e-07,2.74e-08,8.241e-09,6.43204e-09,3.4968999999999994e-08,2.94849e-09,8.02e-05,0.000187,5.43e-05,0.0142,0.00785,0.000112,0.0001,4.56e-11,0.00107
720,2.719e-07,2.717e-08,8.168e-09,6.36804e-09,3.4596e-08,3.01401e-09,7.98e-05,0.000186,5.49e-05,0.0141,0.0078,0.00011,0.0001,5.85e-11,0.00106
730,2.698e-07,2.696e-08,8.091e-09,6.304360000000001e-09,3.4225e-08,3.025e-09,7.94e-05,0.000185,5.5e-05,0.014,0.00775,0.000109,0.0001,4.65e-11,0.00106
740,2.676e-07,2.674e-08,8.002e-09,6.2409999999999994e-09,3.3856e-08,2.97025e-09,7.9e-05,0.000184,5.45e-05,0.0139,0.0077,0.000107,0.0001,6.19e-11,0.00106
750,2.654e-07,2.652e-08,7.913e-09,6.17796e-09,3.3489e-08,2.916e-09,7.86e-05,0.000183,5.4e-05,0.0137,0.00842,0.000116,0.0001,5.13e-11,0.00106
760,2.632e-07,2.63e-08,7.832e-09,6.115240000000001e-09,3.3124e-08,2.9376400000000002e-09,7.82e-05,0.000182,5.42e-05,0.0136,0.00837,0.000114,0.0001,4.85e-11,0.00106
