theta_path,nu,mu_damp,rank_rtol,use_jitter,jitter_sigma_x,jitter_sigma_t,nx_pde,nt_pde,pde_points,bc_value_points,bc_derivative_points,ic_points,pde_rms,bc_val_rms,bc_der_rms,ic_rms,checkpoint_mse,checkpoint_relL2,elapsed_sec,m_constraints,n_params,sigma_min_J,sigma_max_J,rank_J,rank_tol,cond_JJt,cond_K_no_damp,cond_K_damped
theta_star_pointwise_jitter_1e-5.npz.npy,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,5,5,25,100,100,200,0.003342086135482114,7.581821895301028e-07,1.2512994681515094e-06,5.587857936914146e-06,1.4411655676558988e-07,0.0006188130328899376,73.4367265701294,425,1981,2.247269679457862e-15,283.9806448388499,151,2.8398064483884993e-08,1.1238086122820379e+20,1.9997333103565383e+20,2844810.351028834
theta_star_pointwise_jitter_1e-5.npz.npy,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,10,10,100,100,100,200,0.00998279616314208,8.957675913607267e-07,1.2377996320337835e-06,5.17285918611118e-06,1.4411655676558988e-07,0.0006188130328899376,246.49989080429077,500,1981,2.303975818492503e-15,726.1985994105275,219,7.261985994105276e-08,3.933388833643654e+20,6.74298258803842e+20,7266987.2159082005
theta_star_pointwise_jitter_1e-5.npz.npy,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,20,20,400,100,100,200,0.006190451200821248,8.33370238445971e-07,1.2474567706806355e-06,5.715364154394106e-06,1.4411655676558988e-07,0.0006188130328899376,82.96396446228027,800,1981,1.8056620097640224e-15,513.7076408167651,509,5.137076408167651e-08,1.4368102056061557e+20,3.576356417457805e+20,5142078.341994398
theta_star_pointwise_jitter_1e-5.npz.npy,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,30,30,900,100,100,200,0.00863361028226593,8.412379098762223e-07,1.2641657370909102e-06,5.332650661560251e-06,1.4411655676558988e-07,0.0006188130328899376,83.66604900360107,1300,1981,1.7628942388073064e-15,2399.9911373166615,736,2.3999911373166615e-07,6.023088814144186e+21,2.3672272181701504e+21,24004911.394420438
