method,problem,checkpoint,checkpoint_step,metric,reference_dataset,grid_t,grid_x,grid_y,fuel_mask,coolant_mask,phi_rel_l2,Ts_rel_l2,Tf_rel_l2,rho_growth,rho_max,improve_threshold,notes
Adam,Coupled neutron/thermal MOOSE benchmark,adam_jax_moose_output/checkpoint_latest.pkl,50000,discrete-grid space-time relative L2,moose/sqp_dataset.npz,1001,513,513,x < 0.4 - 1e-12,x > 0.4 + 1e-12,6.101399e-02,9.925167e-02,3.539599e-01,,,,Final/latest Adam checkpoint; evaluated with the same discrete-grid metric.
ALM-A,Coupled neutron/thermal MOOSE benchmark,theta_alm_lbfgs_coupled_fixed_no_noise_final.npy,,discrete-grid space-time relative L2,moose/sqp_dataset.npz,1001,513,513,x < 0.4 - 1e-12,x > 0.4 + 1e-12,6.431924e-03,5.076270e-02,3.084296e-01,1.5,1e4,0.9,Older/better ALM checkpoint. Rho schedule recorded from the ALM-A style; exact checkpoint provenance should be confirmed.
Sto-SQP,Coupled neutron/thermal MOOSE benchmark,theta_sqp_coupled_fixedbatch_jitter1.npy,,discrete-grid space-time relative L2,moose/sqp_dataset.npz,1001,513,513,x < 0.4 - 1e-12,x > 0.4 + 1e-12,3.980897e-03,5.097354e-02,3.095380e-01,,,,Fixed-batch jitter1 checkpoint.
