checkpoint,theta_path,nu,mu_damp,rank_rtol,use_jitter,jitter_sigma_x,jitter_sigma_t,nx_pde,nt_pde,pde_points,bc_value_points,bc_derivative_points,ic_points,pde_rms,bc_val_rms,bc_der_rms,ic_rms,checkpoint_mse,checkpoint_relL2,elapsed_sec,m_constraints,n_params,sigma_min_J,sigma_max_J,rank_J,rank_tol,cond_JJt,cond_K_no_damp,cond_K_damped
iter_1,theta_damped_diag_200_iter_1.npy,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,30,30,900,100,100,200,0.5424109042287386,0.29332979963940836,0.4743184001659816,0.5180125011352827,0.3382456586494231,0.9480224648460769,22.9829318523407,1300,1981,1.304815963957713e-16,188.1956827097257,350,1.881956827097257e-08,5.992408082562088e+20,1.2111096453911303e+22,1886962.970459115
iter_10,theta_damped_diag_200_iter_10.npy,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,30,30,900,100,100,200,0.5169509320316562,0.3068860970417766,0.4305213933131696,0.48571613255999824,0.3006267292971723,0.8937505233248494,19.315363883972168,1300,1981,2.4272077593180757e-16,247.33369815152682,383,2.4733369815152684e-08,1.8480276953370988e+20,7.449318985626579e+20,2478341.536451124
iter_100,theta_damped_diag_200_iter_100.npy,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,30,30,900,100,100,200,0.14431681565967164,0.05188515071964787,0.0604436251994664,0.08395930600693467,0.005874307819656683,0.12493406280091855,20.775988340377808,1300,1981,1.3513864130105876e-15,1946.0277986325623,768,1.9460277986325623e-07,4.3314226359319e+21,1.2080474040396087e+21,19465278.129117902
iter_200,theta_damped_diag_200_iter_200.npy,0.003183098861837907,0.0001,1e-10,True,1e-05,1e-05,30,30,900,100,100,200,0.07752647700685177,1.703393430666616e-05,2.0335471541360918e-05,3.193681881646979e-05,7.167585464220386e-05,0.013800313526815686,21.320428133010864,1300,1981,1.5177756814811885e-15,1998.1484113172728,762,1.9981484113172728e-07,7.198344915398336e+21,9.817123133214817e+21,19986484.2391264
