step,time_sec,lr,total,grad_norm,phi_pde,ts_pde,tf_pde,phi_left,phi_neumann,ts_neumann,tf_bottom,tf_neumann,ic_phi,ic_ts,ic_tf,interface_T,interface_flux,pde_mult,bc_mult,ic_mult,interface_mult
1,30.886661767959595,0.0009999999992104317,144.35636210099216,1240.3371631169464,0.004897878729762981,4.130521303863631,0.7220322837650028,0.698496185815941,0.046435820408109646,5.589579754902491,0.29150852005665157,1.077759851654554,0.004239138999625862,6.550005419709137,0.5578881470471055,0.5326825957429957,2.079220851053195,0.20040000000000002,1.0,0.99975,0.20040000000000002
100,39.13455009460449,0.000999992104342455,3.5798114046336402,57.813916056776144,0.34670440600729047,5.536797198016451,0.10357760810328198,0.04239871731613037,0.05579106903957484,0.012743612036598632,0.004536009868596472,0.004420041627409412,0.02092993573615594,0.002976175953310271,0.0009048368638210017,0.006089234826002304,0.05001578799810744,0.24000000000000002,1.0,0.975,0.24000000000000002
200,47.422762393951416,0.0009999684176815265,1.0287279634539532,42.39387743999143,0.5118555586009819,0.697333527302039,0.034429320539918255,0.008321438441630464,0.02188454442277355,0.008113231641591598,0.0028314390582290373,0.003999911347066761,0.011643470677959919,0.0011015559840845228,0.0016875774742161945,0.004259371389202269,0.0028005494376109057,0.28,1.0,0.95,0.28
300,55.7319061756134,0.0009999289409523236,0.8595862523808431,62.62063517453518,0.5630986341307523,0.47005499055592126,0.014215113247270286,0.004706500650024537,0.021372307763519817,0.019311542233815808,0.0007689023971864119,0.001178522232466896,0.009007207595345321,0.0019955103572354927,0.00048430886209817586,0.0034154429430340847,0.0012861814547055891,0.32,1.0,0.925,0.32
400,64.19263005256653,0.00099987367571332,0.74756935175448,72.6904245962964,0.513545134861082,0.4346340752672526,0.009393251230816704,0.0047598713487948755,0.01820487826450637,0.009186690326690367,0.0011019718248112262,0.001535091409966922,0.005770272020981539,0.00016301715901289432,0.0012614507722825533,0.001866892586879682,0.0009088915692638227,0.36000000000000004,1.0,0.9,0.36000000000000004
500,72.54992747306824,0.0009998026241462927,0.8163000595036984,80.75280792802948,0.5966090612740635,0.32168093707292544,0.009701928620938712,0.0075051746753771725,0.01326119418107509,0.0019576071246922653,0.0014854064706600562,0.00208209471609693,0.0097649400959767,0.00043947945744626283,0.0003382482148937257,0.0013471867200673306,0.0008600824606758365,0.4,1.0,0.875,0.4
600,81.75583171844482,0.0009997157890562357,0.636778796395777,45.0453027069556,0.47072696973981865,0.1690832593465278,0.01026830896763831,0.005048515258396368,0.006952538587683462,0.001976287330758791,0.002996389238495864,0.0014970461928137634,0.0049672603029645305,0.0003556385753706174,0.0006783067961035856,0.0010664626636050693,0.001589059994304011,0.44,1.0,0.85,0.44
700,90.11376476287842,0.00099961317387125,0.7161111212525928,73.20263512860362,0.4777803500762773,0.3189321935815781,0.008744289596792819,0.005187652341029807,0.013293717552973497,0.001589346724630105,0.0019084281850907366,0.001091514033604081,0.0038481912591551057,0.0002736385526595921,0.00014468677764868643,0.0008978496658814277,0.0007370067421001384,0.48000000000000004,1.0,0.825,0.48000000000000004
800,99.35745096206665,0.0009994947826424071,0.7434505198703215,85.9889677666577,0.4579778984018728,0.3491270495620155,0.008425075992032346,0.005184427144587216,0.016521193724294683,0.0021489171897393533,0.0008181113546103221,0.0010835533392652683,0.0035874551619715757,0.0002926298049502826,9.796289305589454e-05,0.0008896202636209352,0.0006563975866469079,0.52,1.0,0.8,0.52
900,109.8044171333313,0.0009993606200435902,0.9076509022419972,90.32207466581289,0.4046775242618673,0.41173818047236826,0.006376611598827748,0.005006643501798323,0.015100702904247868,0.00292696856682683,0.003786538771038416,0.0018362376959784035,0.00617330782219607,5.7331681167983615e-05,0.001100791662335974,0.002030774123638808,0.0006175027189775609,0.56,1.0,0.775,0.56
1000,120.24996566772461,0.0009992106913713087,0.8267050086511908,80.01387304866708,0.4499085664884772,0.13489688362295169,0.005781711199547072,0.008084215339234212,0.009110666230939445,0.003357512185851958,0.0031259405437489354,0.0015011090957525865,0.0041572102961910246,0.00019539127562542998,0.0014448822507984894,0.0011652897856447592,0.0030728751290746022,0.6000000000000001,1.0,0.75,0.6000000000000001
1100,130.7182333469391,0.00099904500254449,0.8409956246372239,89.96481988398791,0.3827776675052049,0.07377382321384443,0.008093825880536108,0.006816440033321542,0.0052746460270783925,0.003323153465439003,0.003496917346525702,0.0014336082175410371,0.006129148141643159,0.0008376041352641644,0.0025945829957293703,0.003434910725114997,0.0035964631179401293,0.6400000000000001,1.0,0.725,0.6400000000000001
1200,141.199227809906,0.0009988635601042455,0.8198880208323036,73.54223337167126,0.3251164841725481,0.12512996350471217,0.008392726893892425,0.005716611119004374,0.006725487324880335,0.012353839177698375,0.003375225145565399,0.003519449977913791,0.006362931841965479,0.00036189539165445164,0.0010543495680847988,0.0015512303243137328,0.0036112805803617002,0.6799999999999999,1.0,0.7,0.6799999999999999
1300,151.66396927833557,0.000998666371213612,0.850963859376596,109.5093429540357,0.28766284046824375,0.4176678137496783,0.006769379624322246,0.004123326963563776,0.012340817616132073,0.0017735416533597407,0.002919954772950071,0.0009941218976575034,0.006285028101133128,9.811657603681048e-05,0.0001139015695574759,0.000820113454102319,0.00024307865204651705,0.72,1.0,0.675,0.72
1400,162.0669083595276,0.0009984534436572692,0.8591548181758056,107.27085132665698,0.2972790349981701,0.2604504187003888,0.0065898361640200544,0.005580888542207372,0.016716920923697344,0.0017776984554851558,0.0034308460589703932,0.0009190836833811659,0.0063923491257167845,0.00016095551750279588,0.00017918566538322806,0.0011673818529545953,0.0006428966546368283,0.76,1.0,0.6499999999999999,0.76
1500,172.5462508201599,0.0009982247858412322,0.716381478560465,89.65708060765922,0.2805842496996362,0.25341658268638745,0.007034435331501552,0.004768202703140182,0.008827532987489011,0.00150585552366142,0.0006498725067931444,0.0015655416265627571,0.005599347980436481,8.876670445302599e-05,0.00017341656027313016,0.0009238781260743525,0.00023512134961891574,0.8,1.0,0.625,0.8
1600,183.176127910614,0.0009979804067925201,0.8334671521875676,99.41242827565175,0.3219363690905028,0.12929581503734083,0.005749370412227545,0.00901018605275061,0.005772860200972264,0.0021791110896142553,0.0024734370035851103,0.002143586942216301,0.006574008942961045,0.0007113622986610702,0.00017908657992474206,0.001093301693727414,0.0006946380025670103,0.8400000000000001,1.0,0.6,0.8400000000000001
1700,193.81675243377686,0.0009977203161587996,2.343058788877685,282.8586603408533,0.24695959190490016,1.1561531689711992,0.00952539333821778,0.011207835116708567,0.04882445568400648,0.015495055821705241,0.00819168158428104,0.007553563119984216,0.009303147097795677,8.713376064016723e-05,0.004005643549511995,0.0035930843174254217,0.00021005425728320266,0.8800000000000001,1.0,0.575,0.8800000000000001
1800,204.4195203781128,0.0009974445242080035,0.8811793697008987,115.83985901582093,0.23841070316331317,0.08248634576742749,0.003977997957895055,0.005241797546602983,0.003819574602108782,0.004059307372755182,0.002724302022077098,0.0011881187876185014,0.00701874983342963,0.0020557058691557445,0.002028486609621083,0.005210412188575077,0.001616422494555629,0.9200000000000002,1.0,0.55,0.9200000000000002
1900,215.07940435409546,0.0009971530418279254,0.7368726474294458,80.20973584208177,0.26388493743155167,0.04610523685245823,0.004611107578567235,0.005478751026417373,0.0031681492377498483,0.002105396646643008,0.0028624866911254676,0.0022613497468188374,0.006014376892006145,0.0011484054124980868,0.0011268963048188389,0.0019420265328194653,0.0022426345271673205,0.9600000000000002,1.0,0.5249999999999999,0.9600000000000002
2000,225.69013476371765,0.0009968458805257913,0.7544671503468491,70.90734960123093,0.24015318739596694,0.07496477284721545,0.006159148919348193,0.005559044953078504,0.0046154871159462,0.004611087272320488,0.001991373300328129,0.001550180809360582,0.008050860987651913,0.0008791300315728586,0.00035499658630387166,0.0017567764867969077,0.0021981874327415664,1.0,1.0,0.5,1.0
2100,236.22382926940918,0.0009965230524278028,0.8666140414806085,118.63825238437425,0.22026314978244146,0.29186202989325105,0.004283927283898441,0.004752698861697434,0.007649313647355088,0.0014877214894068076,0.0035858938381182425,0.001260516572631925,0.006204897312947395,7.021551858250768e-05,0.00023823964421139504,0.000859284589472299,0.00028267560292691274,1.0,1.0,0.5,1.0
2200,246.7606680393219,0.0009961845702786605,0.7211182583417993,90.0662667063821,0.18695011338489143,0.21495781482435153,0.004504756057909521,0.004346093963612246,0.00800489095082241,0.0021873417317242287,0.0025237601079852365,0.001280157640786014,0.00627006459823126,0.00010622707805243466,0.00015458511050677864,0.0006844031984341155,0.0004856607348284726,1.0,1.0,0.5,1.0
2300,257.3794803619385,0.0009958304474410604,0.7860104147421163,90.87168718032889,0.19933670548491134,0.16400106745571702,0.003608368217494055,0.004306613703667826,0.007434061637786338,0.0020506953737489766,0.00698045594993898,0.0011994318384517817,0.005482569455482993,0.00014086481727059114,0.00042244139255505933,0.0008367603689170514,0.00020912273932521109,1.0,1.0,0.5,1.0
2400,268.07071256637573,0.0009954606978951656,0.6933719586014269,88.7539982975132,0.2030004303521166,0.19032719996406108,0.003328954587003709,0.0042122136589004275,0.006696276015865747,0.0014677265674819414,0.001201428324541781,0.00116373912394855,0.005067854997154104,9.713389933398152e-05,0.0011674529388742392,0.0014482927603095825,0.00020004296047054508,1.0,1.0,0.5,1.0
2500,278.3433270454407,0.0009950753362380552,0.6550121093385939,67.84383550340988,0.17744191485971644,0.1600786331076604,0.0035382667824054677,0.00515333091167185,0.005150163022148533,0.0017562018285714682,0.0029057482812349196,0.0012650779269825533,0.0062881356175177,0.00031578408513421006,7.788991329515035e-05,0.0005350108871372138,0.00021914874381112872,1.0,1.0,0.5,1.0
2600,288.70792722702026,0.0009946743776831472,0.6686887563282886,101.31416625890895,0.18564708266001706,0.06759435160363855,0.0048107060858344885,0.0043201476321992,0.003226164479873719,0.005129789447374108,0.0007713860601017014,0.0011333401276870532,0.006293473338760925,0.0005891434989801713,0.0006202442617623106,0.002993557962075705,0.001954409381181512,1.0,1.0,0.5,1.0
2700,299.0771048069,0.0009942578380595993,0.6915574118111543,91.64547752227568,0.1807822117997768,0.05042814549778436,0.004341641168141162,0.00588162692805227,0.0039020536407003217,0.0023333559172877614,0.002561131450594006,0.0012809462802530558,0.0069139709242925645,0.0010905133934136862,0.0004928693320118297,0.0025009592735899763,0.0015568330211858956,1.0,1.0,0.5,1.0
2800,309.4402389526367,0.0009938257338116823,0.6948931566691356,106.86706142304898,0.16698396488827888,0.09987996215124159,0.0046756860391837475,0.007962726729229461,0.006343847553372932,0.0049263387764869005,0.0029262070425099436,0.0011500075773708904,0.007634001624422858,0.00010439755717496803,6.550660271745989e-05,0.0007288014729852532,0.0002109127555793115,1.0,1.0,0.5,1.0
2900,319.8063108921051,0.0009933780819981319,0.6510814939723854,85.84993400562439,0.15126274333913875,0.07664743855237387,0.00427515911103232,0.008035069311666523,0.0042685327126556335,0.0065749363733231874,0.002471607184418197,0.0008352446632951261,0.006501926918179749,0.00020641018759764063,3.0394667778739783e-05,0.0010299538532741843,0.00020470010338990795,1.0,1.0,0.5,1.0
3000,330.258061170578,0.0009929149002914756,0.6957268374255917,93.4103018306478,0.12153824178936026,0.10811301031122765,0.004365926082144974,0.0077940995467418,0.004602174043986011,0.00171743068113458,0.0028748838740976896,0.0007340428847330641,0.010807109860763556,0.0012103818682746273,7.086199733052722e-05,0.0014623311062358052,0.0008713329782339742,1.0,1.0,0.5,1.0
3100,340.6689314842224,0.0009924362069773337,0.6623412482655486,103.44858045216849,0.13902423740414954,0.1243471499556634,0.004918851206245069,0.006549784205685917,0.003990853086739788,0.0064220475366708486,0.0017323308935274378,0.0009147795237939285,0.0062996812905091615,0.000813287722782195,0.00038713101078439023,0.0014048644584727047,0.0006389153013314907,1.0,1.0,0.5,1.0
3200,351.18357253074646,0.0009919420209536988,0.6890563328611436,80.25404702158333,0.09586904046436175,0.14285690308594848,0.007053811228703747,0.00566091497846216,0.004436633605295135,0.00482100023169101,0.004222248927469195,0.0025547768823331505,0.014148478732976711,0.00016996428514347875,0.0007128992177887465,0.0008203031370149365,0.0003427968174775178,1.0,1.0,0.5,1.0
3300,361.6087558269501,0.000991432361730189,0.6751292105524691,92.28140557136886,0.1240077366620925,0.05472651499525948,0.00683369079777537,0.005570883414782556,0.0038252041717249854,0.010284335847733082,0.0022774304674615664,0.0009528058156377558,0.004934551322857264,7.007818232163242e-05,0.00011151188967551963,0.0034437803965597924,0.0003302291733973583,1.0,1.0,0.5,1.0
