iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
560,0.0158,1.81e-08,2.4336e-08,8.5849e-10,3.9204e-10,7.569e-09
570,0.01562,1.751e-08,2.3716000000000002e-08,8.5849e-10,3.7636000000000003e-10,7.499560000000001e-09
580,0.01545,1.696e-08,2.2801000000000003e-08,8.526400000000001e-10,3.6100000000000005e-10,7.4476899999999995e-09
590,0.01527,1.645e-08,2.2200999999999998e-08,8.526400000000001e-10,3.4969e-10,7.3960000000000005e-09
600,0.0151,1.599e-08,2.1316e-08,8.526400000000001e-10,3.3489e-10,7.327359999999999e-09
610,0.01492,1.556e-08,2.0736e-08,8.4681e-10,3.24e-10,7.27609e-09
620,0.01475,1.517e-08,2.0164e-08,8.4681e-10,3.1683999999999996e-10,7.225000000000001e-09
630,0.01459,1.481e-08,1.9599999999999997e-08,8.4681e-10,3.0976e-10,7.19104e-09
640,0.01442,1.448e-08,1.9320999999999998e-08,8.41e-10,2.9929e-10,7.140249999999999e-09
650,0.01425,1.418e-08,1.8768999999999998e-08,8.41e-10,2.9241e-10,7.106490000000001e-09
660,0.01408,1.39e-08,1.8496e-08,8.41e-10,2.89e-10,7.056e-09
670,0.01391,1.365e-08,1.7956000000000002e-08,8.352100000000001e-10,2.8223999999999995e-10,7.02244e-09
680,0.01375,1.342e-08,1.7689e-08,8.352100000000001e-10,2.7888999999999995e-10,6.98896e-09
690,0.01359,1.32e-08,1.7424e-08,8.352100000000001e-10,2.7225e-10,6.955559999999999e-09
700,0.01343,1.3e-08,1.7161000000000004e-08,8.352100000000001e-10,2.6895999999999997e-10,6.92224e-09
710,0.01326,1.283e-08,1.6899999999999996e-08,8.294399999999999e-10,2.6569e-10,6.90561e-09
720,0.0131,1.267e-08,1.6640999999999997e-08,8.294399999999999e-10,2.6244000000000003e-10,6.8724099999999994e-09
730,0.01293,1.252e-08,1.6384e-08,8.294399999999999e-10,2.6244000000000003e-10,6.839290000000001e-09
740,0.01276,1.239e-08,1.6384e-08,8.294399999999999e-10,2.592099999999999e-10,6.80625e-09
750,0.0126,1.227e-08,1.6129e-08,8.2369e-10,2.56e-10,6.7897599999999995e-09
760,0.01244,1.214e-08,1.5876e-08,8.2369e-10,2.56e-10,6.756840000000001e-09
770,0.01229,1.202e-08,1.5876e-08,8.2369e-10,2.5281000000000003e-10,6.74041e-09
