iter,obj_mse_weighted,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,station,tau,alpha,beta,kkt_res,d_inf,d_l2
360,0.001326,0.0001326,1.203e-08,1.13569e-07,1.1448999999999998e-10,9.662890000000002e-11,4.5368999999999996e-10,0.007229,0.4576036,0.25,0.539,0.00077,0.00723,0.029
370,0.001282,0.0001282,7.561e-09,7.0756e-08,1.1236e-10,9.643239999999999e-11,4.3681e-10,0.006166,0.4576036,0.186,0.533,0.00076,0.00617,0.0302
380,0.001246,0.0001246,1.251e-08,3.8808999999999994e-08,1.1025e-10,9.84064e-11,4.2025e-10,0.00714,0.4576036,0.184,0.528,0.00074,0.00714,0.028
390,0.001205,0.00012049999999999999,4.447e-09,4.8841e-08,9.900249999999999e-11,9.662890000000002e-11,4.0803999999999997e-10,0.002393,0.4576036,0.572,0.523,0.00072,0.00239,0.0151
400,0.001175,0.00011750000000000001,6.229e-09,1.9043999999999998e-08,9.72196e-11,9.23521e-11,3.9600999999999996e-10,0.00247,0.4576036,0.515,0.517,0.00071,0.00247,0.0136
410,0.001123,0.0001123,2.162e-08,1.3225000000000001e-08,9.76144e-11,1.2543999999999998e-10,3.9204e-10,0.00192,0.4576036,0.51,0.512,0.00069,0.00192,0.013
420,0.001088,0.0001088,1.087e-08,6.9696e-08,8.79844e-11,9.74169e-11,3.6481e-10,0.01085,0.4576036,0.11,0.507,0.00068,0.0109,0.0373
430,0.001058,0.0001058,8.907e-09,8.70489e-09,7.956639999999999e-11,8.87364e-11,3.5343999999999997e-10,0.009693,0.4576036,0.0614,0.502,0.00066,0.00969,0.0351
440,0.001039,0.0001039,6.734e-09,2.7225e-08,7.79689e-11,8.81721e-11,3.4969e-10,0.005268,0.4576036,0.338,0.498,0.00065,0.00527,0.0196
450,0.001014,0.0001014,1.56e-08,2.7889e-08,7.638759999999999e-11,1.1881000000000003e-10,3.4969e-10,0.003691,0.4576036,0.491,0.493,0.00064,0.00369,0.0157
460,0.0009928,9.928000000000001e-05,3.904e-09,4.3681000000000006e-08,7.12336e-11,8.335690000000002e-11,3.3123999999999993e-10,0.004885,0.4576036,0.365,0.489,0.00063,0.00489,0.0186
470,0.0009716,9.716e-05,4.051e-09,2.7556e-08,7.293159999999999e-11,1.0404000000000001e-10,3.3123999999999993e-10,0.005383,0.4576036,0.272,0.484,0.00063,0.00538,0.0219
480,0.0009456,9.456e-05,3.614e-09,2.1025e-08,6.67489e-11,8.464e-11,3.24e-10,0.003539,0.4576036,0.434,0.48,0.00062,0.00354,0.0154
490,0.0009244,9.244e-05,8.801e-09,3.0625e-08,6.33616e-11,7.88544e-11,3.1329e-10,0.008944,0.4576036,0.137,0.476,0.00061,0.00894,0.03
500,0.0009079,9.079e-05,2.909e-09,1.3456e-08,6.304360000000001e-11,7.761610000000001e-11,3.0976e-10,0.002308,0.4576036,0.687,0.472,0.0006,0.00231,0.0116
510,0.0008825,8.825e-05,3.678e-09,2.1609e-08,5.67009e-11,8.13604e-11,3.0624999999999995e-10,0.004348,0.4576036,0.423,0.468,0.00059,0.00435,0.0153
520,0.0008571,8.570999999999999e-05,5.073e-09,2.0164e-08,5.7608100000000004e-11,7.656249999999999e-11,2.9929e-10,0.002433,0.4576036,0.676,0.464,0.00058,0.00243,0.0121
530,0.0008219,8.219e-05,8.932e-09,4.2848999999999995e-08,5.314409999999999e-11,7.86769e-11,2.9584000000000004e-10,0.009561,0.4576036,0.121,0.46,0.00058,0.00956,0.0308
540,0.000813,8.13e-05,7.922e-09,1.9881000000000004e-08,5.14089e-11,7.361639999999999e-11,2.89e-10,0.001766,0.4576036,0.885,0.456,0.00057,0.00177,0.00988
550,0.00079,7.9e-05,4.763e-09,2.2200999999999998e-08,5.12656e-11,7.396000000000001e-11,2.8561e-10,0.007781,0.4576036,0.158,0.452,0.00057,0.00778,0.0249
560,0.0007803,7.803000000000001e-05,3.831e-09,1.8225e-08,4.8302500000000006e-11,7.039209999999999e-11,2.8223999999999995e-10,0.002182,0.4576036,0.654,0.449,0.00056,0.00218,0.0111
570,0.0007586,7.586e-05,6.792e-09,1.8768999999999998e-08,4.5427599999999996e-11,6.93889e-11,2.7888999999999995e-10,0.002621,0.4576036,0.785,0.445,0.00055,0.00262,0.00952
580,0.000738,7.38e-05,3.45e-09,1.2321e-08,5.3582400000000006e-11,7.691290000000002e-11,2.7556000000000003e-10,0.001398,0.4576036,0.943,0.442,0.00055,0.0014,0.00776
590,0.0007232,7.232e-05,2.338e-09,2.4963999999999998e-08,4.2380100000000006e-11,6.756839999999999e-11,2.6895999999999997e-10,0.009375,0.4576036,0.139,0.439,0.00055,0.00938,0.0258
600,0.0007046,7.046e-05,8.167e-09,3.6481e-08,4.07044e-11,6.69124e-11,2.6569e-10,0.009054,0.4576036,0.138,0.435,0.00054,0.00905,0.0285
610,0.0006889,6.889e-05,4.198e-09,9.46729e-09,3.893760000000001e-11,6.496360000000001e-11,2.592099999999999e-10,0.005683,0.4576036,0.166,0.432,0.00053,0.00568,0.0198
620,0.0006735,6.735000000000001e-05,2.44e-09,1.3225000000000001e-08,3.83161e-11,6.577210000000001e-11,2.56e-10,0.006493,0.4576036,0.181,0.429,0.00053,0.00649,0.0199
630,0.0006606,6.606e-05,2.678e-09,2.6569e-08,3.81924e-11,6.577210000000001e-11,2.5281000000000003e-10,0.008295,0.4576036,0.123,0.426,0.00053,0.00829,0.0269
640,0.0006482,6.482e-05,7.355e-09,1.7956000000000002e-08,3.6723599999999994e-11,6.304360000000001e-11,2.4648999999999994e-10,0.003083,0.4576036,0.463,0.423,0.00052,0.00308,0.0122
650,0.0006311,6.311e-05,5.809e-09,1.5625e-08,3.52836e-11,6.41601e-11,2.4336e-10,0.006375,0.4576036,0.214,0.42,0.00051,0.00638,0.0182
660,0.0006236,6.235999999999999e-05,4.3e-09,2.0164e-08,3.20356e-11,6.05284e-11,2.3716000000000004e-10,0.003191,0.4576036,0.668,0.417,0.00051,0.00319,0.0105
670,0.0006082,6.0820000000000004e-05,2.879e-09,1.3225000000000001e-08,3.54025e-11,6.115239999999999e-11,2.3408999999999996e-10,0.002845,0.4576036,0.548,0.414,0.0005,0.00285,0.0116
680,0.0005978,5.978e-05,1.241e-09,1.3456e-08,3.62404e-11,5.99076e-11,2.2800999999999997e-10,0.006031,0.4576036,0.254,0.411,0.0005,0.00603,0.0167
690,0.0005943,5.943e-05,2.524e-09,5.944410000000001e-09,3.73321e-11,6.03729e-11,2.2800999999999997e-10,0.001565,0.4576036,0.72,0.408,0.0005,0.00156,0.00869
700,0.0005814,5.814e-05,1.394e-09,2.1904e-08,3.18096e-11,5.80644e-11,2.2201e-10,0.006798,0.4576036,0.228,0.406,0.0005,0.0068,0.0189
710,0.0005724,5.724e-05,1.281e-09,2.3104000000000003e-08,3.1359999999999996e-11,5.79121e-11,2.1904000000000003e-10,0.009769,0.4576036,0.116,0.403,0.0005,0.00977,0.0254
720,0.0005645,5.645e-05,2.682e-09,1.0201e-08,2.916e-11,5.882889999999999e-11,2.1316000000000002e-10,0.003046,0.4576036,0.482,0.4,0.00049,0.00305,0.0102
730,0.0005531,5.531e-05,3.906e-09,1.4161000000000002e-08,2.8515599999999995e-11,5.53536e-11,2.1025e-10,0.0009015,0.4576036,1.03,0.398,0.00048,0.000901,0.00566
740,0.0005458,5.458e-05,4.052e-09,1.4161000000000002e-08,2.704e-11,5.625e-11,2.0449e-10,0.009658,0.4576036,0.104,0.395,0.00048,0.00966,0.0251
750,0.0005379,5.379e-05,1.426e-09,9.409e-09,2.8622499999999996e-11,5.446439999999999e-11,2.0164e-10,0.004969,0.4576036,0.323,0.393,0.00047,0.00497,0.0131
760,0.0005287,5.287e-05,4.286e-09,8.136039999999999e-09,2.6728899999999996e-11,5.34361e-11,1.9881e-10,0.0009325,0.4576036,1.01,0.39,0.00047,0.000933,0.00619
770,0.0005187,5.1869999999999996e-05,6.873e-09,8.100000000000001e-09,2.6832400000000005e-11,5.27076e-11,1.9321000000000002e-10,0.0009299,0.4576036,1.0,0.388,0.00047,0.00093,0.00572
780,0.0005111,5.1110000000000004e-05,1.519e-09,9.486759999999999e-09,2.5704899999999997e-11,5.14089e-11,1.9044e-10,0.005766,0.4576036,0.163,0.385,0.00046,0.00577,0.0175
790,0.0005027,5.0270000000000005e-05,2.382e-09,1.21e-08,2.8729600000000002e-11,5.16961e-11,1.8768999999999997e-10,0.006879,0.4576036,0.147,0.383,0.00046,0.00688,0.0209
