iter,pde_obj_weighted,pde_mse,constraint_mse,constraint_rms,station,tau,alpha,kkt
550,0.01599,0.0015990000000000002,1.876e-08,0.00013696714934611145,0.04112,0.4538431,0.00508,0.0027
560,0.0158,0.0015800000000000002,1.81e-08,0.00013453624047073711,0.04131,0.4538431,0.00504,0.0027
570,0.01562,0.001562,1.751e-08,0.00013232535660258015,0.04147,0.4538431,0.00454,0.0027
580,0.01545,0.001545,1.696e-08,0.00013023056476879765,0.04159,0.4538431,0.00451,0.0027
590,0.01527,0.0015270000000000001,1.645e-08,0.00012825755338380658,0.04169,0.4538431,0.00447,0.0027
600,0.0151,0.00151,1.599e-08,0.00012645157175772865,0.04175,0.4538431,0.00444,0.0027
610,0.01492,0.0014919999999999998,1.556e-08,0.0001247397290361014,0.04176,0.4538431,0.00441,0.0027
620,0.01475,0.001475,1.517e-08,0.0001231665539016173,0.0417,0.4538431,0.00398,0.0027
630,0.01459,0.001459,1.481e-08,0.00012169634341261038,0.04159,0.4538431,0.00395,0.0027
640,0.01442,0.0014420000000000001,1.448e-08,0.00012033287165193059,0.04139,0.4538431,0.00392,0.0027
650,0.01425,0.001425,1.418e-08,0.00011907980517283357,0.04111,0.4538431,0.00389,0.0027
660,0.01408,0.001408,1.39e-08,0.00011789826122551597,0.04073,0.4538431,0.00386,0.0027
670,0.01391,0.001391,1.365e-08,0.00011683321445547922,0.04022,0.4538431,0.00384,0.0027
680,0.01375,0.001375,1.342e-08,0.00011584472366059664,0.03963,0.4538431,0.00347,0.0027
690,0.01359,0.001359,1.32e-08,0.00011489125293076057,0.03894,0.4538431,0.00344,0.0027
700,0.01343,0.001343,1.3e-08,0.0001140175425099138,0.03811,0.4538431,0.00342,0.0027
710,0.01326,0.001326,1.283e-08,0.00011326958991715296,0.03784,0.4538431,0.0034,0.0027
720,0.0131,0.00131,1.267e-08,0.00011256109452204168,0.03834,0.4538431,0.00337,0.0027
730,0.01293,0.001293,1.252e-08,0.00011189280584559492,0.03884,0.4538431,0.00335,0.0027
740,0.01276,0.001276,1.239e-08,0.00011131037687475504,0.03933,0.4538431,0.00333,0.0027
750,0.0126,0.00126,1.227e-08,0.00011077003204838391,0.03981,0.4538431,0.00331,0.0027
760,0.01244,0.0012439999999999999,1.214e-08,0.00011018166816671455,0.04024,0.4538431,0.00299,0.0027
770,0.01229,0.001229,1.202e-08,0.00010963576058932597,0.04064,0.4538431,0.00297,0.0027
780,0.01213,0.001213,1.191e-08,0.00010913294644606641,0.04102,0.4538431,0.00295,0.0027
790,0.01198,0.0011979999999999998,1.18e-08,0.00010862780491200215,0.04136,0.4538431,0.00294,0.0027
800,0.01183,0.001183,1.169e-08,0.00010812030336620408,0.04168,0.4538431,0.00292,0.0027
810,0.01167,0.001167,1.159e-08,0.00010765686229869417,0.04195,0.4538431,0.0029,0.0027
820,0.01152,0.001152,1.148e-08,0.00010714476188783098,0.04218,0.4538431,0.00288,0.0027
830,0.01137,0.001137,1.137e-08,0.00010663020210053059,0.04237,0.4538431,0.00287,0.0027
840,0.01123,0.001123,1.127e-08,0.00010616025621672171,0.04251,0.4538431,0.00285,0.0027
850,0.01108,0.001108,1.115e-08,0.00010559356040971438,0.0426,0.4538431,0.00283,0.0027
860,0.01094,0.001094,1.104e-08,0.00010507140429250958,0.04265,0.4538431,0.00282,0.0027
870,0.0108,0.00108,1.092e-08,0.00010449880382090505,0.04266,0.4538431,0.0028,0.0027
880,0.01066,0.0010659999999999999,1.08e-08,0.00010392304845413265,0.04262,0.4538431,0.00279,0.0027
890,0.01052,0.001052,1.067e-08,0.00010329569206893384,0.04254,0.4538431,0.00277,0.0027
900,0.01039,0.001039,1.054e-08,0.00010266450214168479,0.04242,0.4538431,0.00276,0.0026
910,0.01026,0.001026,1.041e-08,0.00010202940752547767,0.04227,0.4538431,0.00274,0.0026
920,0.01013,0.001013,1.028e-08,0.0001013903348450926,0.04208,0.4538431,0.00273,0.0026
930,0.01001,0.001001,1.014e-08,0.00010069756700139283,0.04186,0.4538431,0.00271,0.0026
940,0.009891,0.0009891000000000001,1e-08,0.0001,0.04162,0.4538431,0.0027,0.0026
950,0.009773,0.0009773,9.866e-09,9.932774033471213e-05,0.04135,0.4538431,0.00268,0.0026
960,0.009659,0.0009658999999999999,9.727e-09,9.862555449780752e-05,0.04105,0.4538431,0.00267,0.0026
970,0.009548,0.0009547999999999999,9.589e-09,9.792343948207702e-05,0.04074,0.4538431,0.00266,0.0026
980,0.00944,0.0009440000000000001,9.451e-09,9.721625378505387e-05,0.04041,0.4538431,0.00264,0.0026
990,0.009335,0.0009335,9.314e-09,9.65090669315583e-05,0.04007,0.4538431,0.00263,0.0026
1000,0.009233,0.0009232999999999999,9.179e-09,9.58070978581441e-05,0.03971,0.4538431,0.00262,0.0026
1010,0.009134,0.0009134,9.045e-09,9.510520490488415e-05,0.03935,0.4538431,0.0026,0.0026
1020,0.009037,0.0009037,8.913e-09,9.440868604106298e-05,0.03897,0.4538431,0.00259,0.0026
1030,0.008943,0.0008943,8.784e-09,9.372299611087985e-05,0.03858,0.4538431,0.00258,0.0026
1040,0.008852,0.0008852,8.658e-09,9.304837451562494e-05,0.03819,0.4538431,0.00256,0.0026
1050,0.008763,0.0008763,8.534e-09,9.237965143904799e-05,0.03779,0.4538431,0.00255,0.0026
1060,0.008677,0.0008677000000000001,8.412e-09,9.171695590238481e-05,0.03739,0.4538431,0.00254,0.0026
1070,0.008593,0.0008593,8.294e-09,9.107140056021978e-05,0.03698,0.4538431,0.00253,0.0025
1080,0.008511,0.0008510999999999999,8.179e-09,9.043782394551518e-05,0.03657,0.4538431,0.00252,0.0025
1090,0.008431,0.0008431,8.066e-09,8.981091247727082e-05,0.03617,0.4538431,0.0025,0.0025
1100,0.008354,0.0008354,7.957e-09,8.920201791439474e-05,0.03575,0.4538431,0.00249,0.0025
1110,0.008278,0.0008278000000000001,7.851e-09,8.860586888011426e-05,0.03535,0.4538431,0.00248,0.0025
1120,0.008205,0.0008205,7.747e-09,8.801704380402696e-05,0.03494,0.4538431,0.00247,0.0025
1130,0.008128,0.0008128,7.643e-09,8.74242529278918e-05,0.03451,0.4538431,0.0027,0.0025
1140,0.008052,0.0008052000000000001,7.539e-09,8.682741502543999e-05,0.03406,0.4538431,0.00269,0.0025
1150,0.007977,0.0007976999999999999,7.438e-09,8.624384035976135e-05,0.03362,0.4538431,0.00268,0.0025
1160,0.007905,0.0007905000000000001,7.341e-09,8.567963585356791e-05,0.03318,0.4538431,0.00267,0.0025
1170,0.007834,0.0007834000000000001,7.247e-09,8.512931340026184e-05,0.03275,0.4538431,0.00266,0.0025
1180,0.007766,0.0007766,7.155e-09,8.45872330792301e-05,0.03233,0.4538431,0.00265,0.0025
1190,0.007699,0.0007699,7.067e-09,8.406545069170806e-05,0.03191,0.4538431,0.00263,0.0025
1200,0.007634,0.0007634,6.982e-09,8.355836283700153e-05,0.0315,0.4538431,0.00262,0.0025
1210,0.00757,0.0007570000000000001,6.899e-09,8.306021911842034e-05,0.0311,0.4538431,0.00261,0.0025
1220,0.007508,0.0007508,6.819e-09,8.257723657279893e-05,0.0307,0.4538431,0.0026,0.0025
1230,0.007447,0.0007446999999999999,6.741e-09,8.210359310042405e-05,0.03032,0.4538431,0.00259,0.0025
1240,0.007388,0.0007388,6.667e-09,8.165169930871004e-05,0.02994,0.4538431,0.00258,0.0025
1250,0.00733,0.0007329999999999999,6.594e-09,8.120344820264716e-05,0.02958,0.4538431,0.00257,0.0025
1260,0.007274,0.0007274,6.524e-09,8.077128202523468e-05,0.02922,0.4538431,0.00256,0.0025
1270,0.007219,0.0007218999999999999,6.457e-09,8.035546029984521e-05,0.02888,0.4538431,0.00255,0.0025
1280,0.007165,0.0007165,6.391e-09,7.994373021069257e-05,0.02854,0.4538431,0.00254,0.0024
1290,0.007112,0.0007112,6.328e-09,7.954872720540537e-05,0.02822,0.4538431,0.00253,0.0024
1300,0.00706,0.000706,6.267e-09,7.916438593205913e-05,0.02791,0.4538431,0.00252,0.0024
1310,0.007009,0.0007009,6.208e-09,7.879086241436884e-05,0.02761,0.4538431,0.00251,0.0024
1320,0.006959,0.0006959,6.15e-09,7.84219357067906e-05,0.02732,0.4538431,0.0025,0.0024
1330,0.006911,0.0006910999999999999,6.095e-09,7.807048097712732e-05,0.02704,0.4538431,0.00249,0.0024
1340,0.006863,0.0006863,6.041e-09,7.772387020729217e-05,0.02678,0.4538431,0.00248,0.0024
1350,0.006815,0.0006815,5.99e-09,7.739509028355739e-05,0.02653,0.4538431,0.00247,0.0024
1360,0.006769,0.0006769,5.94e-09,7.707139547199078e-05,0.02629,0.4538431,0.00246,0.0024
1370,0.006724,0.0006724,5.891e-09,7.675285010994705e-05,0.02606,0.4538431,0.00245,0.0024
1380,0.006679,0.0006679,5.844e-09,7.644605941446557e-05,0.02585,0.4538431,0.00244,0.0024
1390,0.006635,0.0006635,5.799e-09,7.61511654539837e-05,0.02565,0.4538431,0.00243,0.0024
1400,0.006591,0.0006590999999999999,5.755e-09,7.586171630012071e-05,0.02546,0.4538431,0.00242,0.0024
1410,0.006548,0.0006548,5.713e-09,7.558438992278762e-05,0.02528,0.4538431,0.00241,0.0024
1420,0.006506,0.0006506,5.671e-09,7.53060422542574e-05,0.02512,0.4538431,0.0024,0.0024
1430,0.006464,0.0006464,5.632e-09,7.504665215717487e-05,0.02497,0.4538431,0.00239,0.0024
1440,0.006423,0.0006422999999999999,5.593e-09,7.478636239315293e-05,0.02483,0.4538431,0.00238,0.0024
1450,0.006383,0.0006383,5.556e-09,7.453858061433689e-05,0.0247,0.4538431,0.00238,0.0024
1460,0.006342,0.0006342,5.519e-09,7.428997240543302e-05,0.02458,0.4538431,0.00237,0.0024
1470,0.006303,0.0006303,5.484e-09,7.405403432629447e-05,0.02447,0.4538431,0.00236,0.0024
1480,0.006264,0.0006263999999999999,5.45e-09,7.3824115301167e-05,0.02437,0.4538431,0.00235,0.0024
1490,0.006225,0.0006225,5.417e-09,7.360027173862879e-05,0.02428,0.4538431,0.00234,0.0024
1500,0.006187,0.0006187,5.385e-09,7.338255923582933e-05,0.0242,0.4538431,0.00233,0.0024
1510,0.006149,0.0006149,5.354e-09,7.317103251970687e-05,0.02413,0.4538431,0.00233,0.0024
1520,0.006111,0.0006111000000000001,5.324e-09,7.29657453878188e-05,0.02407,0.4538431,0.00232,0.0024
1530,0.006074,0.0006074,5.294e-09,7.275987905432499e-05,0.02401,0.4538431,0.00231,0.0024
1540,0.006037,0.0006037,5.266e-09,7.256721022610695e-05,0.02396,0.4538431,0.0023,0.0024
1550,0.006001,0.0006001,5.238e-09,7.237402849088891e-05,0.02392,0.4538431,0.00229,0.0024
1560,0.005965,0.0005965,5.211e-09,7.218725649309578e-05,0.02388,0.4538431,0.00229,0.0023
1570,0.005929,0.0005929,5.185e-09,7.200694410957877e-05,0.02384,0.4538431,0.00228,0.0023
1580,0.005894,0.0005894,5.159e-09,7.182617907142215e-05,0.02381,0.4538431,0.00227,0.0023
1590,0.005859,0.0005859,5.134e-09,7.165193647069142e-05,0.02378,0.4538431,0.00226,0.0023
1600,0.005824,0.0005824000000000001,5.11e-09,7.148426400264606e-05,0.02376,0.4538431,0.00226,0.0023
1610,0.00579,0.000579,5.086e-09,7.131619731870174e-05,0.02373,0.4538431,0.00225,0.0023
1620,0.005756,0.0005756,5.063e-09,7.115476090888087e-05,0.02371,0.4538431,0.00224,0.0023
1630,0.005723,0.0005723,5.04e-09,7.099295739719539e-05,0.02369,0.4538431,0.00223,0.0023
