iter,obj_printed,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse,pde_rms,bcv_rms,bcd_rms,ic_rms,station,alpha,step_inf,lambda,kkt,relL2,tau
330,0.4258,0.04256,0.07038,0.042849,0.058080999999999994,0.15288100000000002,0.15840400000000002,0.207,0.241,0.391,0.398,17.4,0.000328,0.00572,0.0001,2.86e-08,0.796,0.0364
340,0.4237,0.04235,0.07007,0.042849,0.0576,0.15366400000000002,0.15760900000000003,0.207,0.24,0.392,0.397,16.7,0.000324,0.00543,0.0001,3.22e-08,0.789,0.0364
350,0.4217,0.04215,0.06979,0.042435999999999995,0.0576,0.15366400000000002,0.156816,0.206,0.24,0.392,0.396,16.0,0.000321,0.00513,0.0001,1.82e-08,0.783,0.0364
360,0.4197,0.04195,0.0695,0.042435999999999995,0.057121,0.15366400000000002,0.15602500000000002,0.206,0.239,0.392,0.395,14.9,0.000317,0.00473,0.0001,3.79e-08,0.778,0.0364
370,0.4177,0.04175,0.06921,0.04202499999999999,0.05664399999999999,0.154449,0.155236,0.205,0.238,0.393,0.394,13.4,0.000314,0.00421,0.0001,3.66e-08,0.772,0.0364
380,0.4157,0.04155,0.06891,0.04202499999999999,0.056169,0.154449,0.15366400000000002,0.205,0.237,0.393,0.392,12.6,0.000311,0.00391,0.0001,3.94e-08,0.767,0.0364
390,0.4136,0.04134,0.06862,0.04161599999999999,0.055695999999999996,0.154449,0.15288100000000002,0.204,0.236,0.393,0.391,13.7,0.000338,0.00462,0.0001,3.58e-08,0.761,0.0364
400,0.4113,0.04111,0.06831,0.04161599999999999,0.055695999999999996,0.155236,0.1521,0.204,0.236,0.394,0.39,14.2,0.000335,0.00475,0.0001,3.13e-08,0.756,0.0364
410,0.4089,0.04087,0.06799,0.041209,0.055224999999999996,0.155236,0.151321,0.203,0.235,0.394,0.389,14.4,0.000332,0.00476,0.0001,3.37e-08,0.75,0.0364
420,0.4066,0.04063,0.06767,0.041209,0.055224999999999996,0.155236,0.150544,0.203,0.235,0.394,0.388,14.3,0.000328,0.00469,0.0001,3.29e-08,0.745,0.0364
430,0.4042,0.0404,0.06735,0.04080400000000001,0.054756000000000006,0.155236,0.14899600000000002,0.202,0.234,0.394,0.386,13.6,0.000325,0.00443,0.0001,2.9e-08,0.74,0.0364
440,0.4019,0.04017,0.06701,0.040401000000000006,0.054289000000000004,0.155236,0.148225,0.201,0.233,0.394,0.385,13.8,0.000322,0.00444,0.0001,4.08e-08,0.735,0.0364
450,0.3996,0.03994,0.06667,0.040401000000000006,0.054289000000000004,0.154449,0.147456,0.201,0.233,0.393,0.384,14.4,0.000319,0.00461,0.0001,3.27e-08,0.73,0.0364
460,0.3974,0.03972,0.06633,0.04000000000000001,0.053824000000000004,0.154449,0.146689,0.2,0.232,0.393,0.383,15.1,0.000316,0.00477,0.0001,3.47e-08,0.725,0.0364
470,0.3952,0.0395,0.06601,0.04000000000000001,0.053824000000000004,0.15366400000000002,0.145924,0.2,0.232,0.392,0.382,15.6,0.000313,0.00489,0.0001,4e-08,0.721,0.0364
480,0.3932,0.0393,0.06569,0.039601000000000004,0.053361000000000006,0.15288100000000002,0.145161,0.199,0.231,0.391,0.381,16.0,0.000311,0.00496,0.0001,4.66e-08,0.716,0.0364
490,0.3912,0.0391,0.06536,0.039601000000000004,0.053361000000000006,0.1521,0.1444,0.199,0.231,0.39,0.38,16.1,0.000308,0.00496,0.0001,3.07e-08,0.712,0.0364
500,0.3892,0.0389,0.06501,0.039204,0.0529,0.151321,0.143641,0.198,0.23,0.389,0.379,16.0,0.000305,0.00488,0.0001,2.57e-08,0.707,0.0364
510,0.3872,0.0387,0.06463,0.039204,0.0529,0.149769,0.142884,0.198,0.23,0.387,0.378,15.6,0.000333,0.0052,0.0001,2.43e-08,0.703,0.0364
520,0.385,0.03847,0.06418,0.038809,0.0529,0.148225,0.142129,0.197,0.23,0.385,0.377,15.0,0.00033,0.00496,0.0001,2.48e-08,0.698,0.0364
530,0.3826,0.03824,0.06369,0.038416000000000006,0.052441,0.145924,0.141376,0.196,0.229,0.382,0.376,14.3,0.00036,0.00515,0.0001,1.9e-08,0.693,0.0364
540,0.3801,0.03798,0.06316,0.038416000000000006,0.052441,0.142884,0.139876,0.196,0.229,0.378,0.374,13.5,0.000357,0.00484,0.0001,1.82e-08,0.689,0.0364
550,0.3773,0.03771,0.06259,0.038025,0.052441,0.140625,0.139129,0.195,0.229,0.375,0.373,12.9,0.00039,0.00502,0.0001,1.82e-08,0.684,0.0364
560,0.3745,0.03742,0.06201,0.037636,0.052441,0.13764099999999999,0.138384,0.194,0.229,0.371,0.372,12.3,0.000387,0.00477,0.0001,1.97e-08,0.679,0.0364
570,0.3715,0.03712,0.06143,0.037636,0.052441,0.135424,0.1369,0.194,0.229,0.368,0.37,11.9,0.000422,0.00504,0.0001,1.79e-08,0.674,0.0364
