iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source
1060,nan,0.0003704,nan,0.0003704,PDE_obj_MSE
1070,nan,0.0003643,nan,0.0003643,PDE_obj_MSE
1080,nan,0.0003606,nan,0.0003606,PDE_obj_MSE
1090,nan,0.0003581,nan,0.0003581,PDE_obj_MSE
1100,nan,0.000354,nan,0.000354,PDE_obj_MSE
1110,nan,0.0003506,nan,0.0003506,PDE_obj_MSE
1120,nan,0.0003517,nan,0.0003517,PDE_obj_MSE
1130,nan,0.0003443,nan,0.0003443,PDE_obj_MSE
1140,nan,0.0003433,nan,0.0003433,PDE_obj_MSE
1150,nan,0.00034,nan,0.00034,PDE_obj_MSE
1160,nan,0.0003362,nan,0.0003362,PDE_obj_MSE
1170,nan,0.0003347,nan,0.0003347,PDE_obj_MSE
1180,nan,0.0003305,nan,0.0003305,PDE_obj_MSE
1190,nan,0.000331,nan,0.000331,PDE_obj_MSE
1200,nan,0.0003263,nan,0.0003263,PDE_obj_MSE
1210,nan,0.0003243,nan,0.0003243,PDE_obj_MSE
1220,nan,0.0003216,nan,0.0003216,PDE_obj_MSE
1230,nan,0.0003203,nan,0.0003203,PDE_obj_MSE
1240,nan,0.0003171,nan,0.0003171,PDE_obj_MSE
1250,nan,0.000314,nan,0.000314,PDE_obj_MSE
1260,nan,0.0003112,nan,0.0003112,PDE_obj_MSE
1270,nan,0.0003124,nan,0.0003124,PDE_obj_MSE
1280,nan,0.0003079,nan,0.0003079,PDE_obj_MSE
1290,nan,0.0003102,nan,0.0003102,PDE_obj_MSE
1300,nan,0.0003026,nan,0.0003026,PDE_obj_MSE
1310,nan,0.000301,nan,0.000301,PDE_obj_MSE
1320,nan,0.0002986,nan,0.0002986,PDE_obj_MSE
1330,nan,0.0002985,nan,0.0002985,PDE_obj_MSE
1340,nan,0.0002927,nan,0.0002927,PDE_obj_MSE
1350,nan,0.0002919,nan,0.0002919,PDE_obj_MSE
1360,nan,0.0002896,nan,0.0002896,PDE_obj_MSE
1370,nan,0.0002903,nan,0.0002903,PDE_obj_MSE
1380,nan,0.0002864,nan,0.0002864,PDE_obj_MSE
1390,nan,0.0002857,nan,0.0002857,PDE_obj_MSE
1400,nan,0.0002814,nan,0.0002814,PDE_obj_MSE
1410,nan,0.0002802,nan,0.0002802,PDE_obj_MSE
1420,nan,0.0002799,nan,0.0002799,PDE_obj_MSE
1430,nan,0.0002768,nan,0.0002768,PDE_obj_MSE
1440,nan,0.0002747,nan,0.0002747,PDE_obj_MSE
1450,nan,0.0002736,nan,0.0002736,PDE_obj_MSE
1460,nan,0.0002716,nan,0.0002716,PDE_obj_MSE
1470,nan,0.0002696,nan,0.0002696,PDE_obj_MSE
1480,nan,0.0002672,nan,0.0002672,PDE_obj_MSE
1490,nan,0.0002666,nan,0.0002666,PDE_obj_MSE
1500,nan,0.0002644,nan,0.0002644,PDE_obj_MSE
1510,nan,0.0002608,nan,0.0002608,PDE_obj_MSE
1520,nan,0.0002616,nan,0.0002616,PDE_obj_MSE
1530,nan,0.00026,nan,0.00026,PDE_obj_MSE
1540,nan,0.0002561,nan,0.0002561,PDE_obj_MSE
1550,nan,0.0002571,nan,0.0002571,PDE_obj_MSE
1560,nan,0.0002536,nan,0.0002536,PDE_obj_MSE
1570,nan,0.0002522,nan,0.0002522,PDE_obj_MSE
1580,nan,0.0002504,nan,0.0002504,PDE_obj_MSE
1590,nan,0.000249,nan,0.000249,PDE_obj_MSE
1600,nan,0.0002476,nan,0.0002476,PDE_obj_MSE
1610,nan,0.0002462,nan,0.0002462,PDE_obj_MSE
1620,nan,0.0002461,nan,0.0002461,PDE_obj_MSE
1630,nan,0.000244,nan,0.000244,PDE_obj_MSE
1640,nan,0.0002465,nan,0.0002465,PDE_obj_MSE
1650,nan,0.0002421,nan,0.0002421,PDE_obj_MSE
1660,nan,0.0002394,nan,0.0002394,PDE_obj_MSE
1670,nan,0.0002383,nan,0.0002383,PDE_obj_MSE
1680,nan,0.0002367,nan,0.0002367,PDE_obj_MSE
1690,nan,0.000235,nan,0.000235,PDE_obj_MSE
1700,nan,0.0002336,nan,0.0002336,PDE_obj_MSE
1710,nan,0.0002316,nan,0.0002316,PDE_obj_MSE
1720,nan,0.0002319,nan,0.0002319,PDE_obj_MSE
1730,nan,0.0002309,nan,0.0002309,PDE_obj_MSE
1740,nan,0.0002283,nan,0.0002283,PDE_obj_MSE
1750,nan,0.0002305,nan,0.0002305,PDE_obj_MSE
