iter,pde_obj_weighted,pde_mse,constraint_mse,constraint_rms,station,tau,alpha,kkt
550,0.00079,7.9e-05,4.763e-09,6.901449123191448e-05,0.007781,0.4576036,0.158,0.00057
560,0.0007803,7.803000000000001e-05,3.831e-09,6.189507250177513e-05,0.002182,0.4576036,0.654,0.00056
570,0.0007586,7.586e-05,6.792e-09,8.241359111214606e-05,0.002621,0.4576036,0.785,0.00055
580,0.000738,7.38e-05,3.45e-09,5.873670062235365e-05,0.001398,0.4576036,0.943,0.00055
590,0.0007232,7.232e-05,2.338e-09,4.835286961494633e-05,0.009375,0.4576036,0.139,0.00055
600,0.0007046,7.046e-05,8.167e-09,9.037145567047152e-05,0.009054,0.4576036,0.138,0.00054
610,0.0006889,6.889e-05,4.198e-09,6.479197481170026e-05,0.005683,0.4576036,0.166,0.00053
620,0.0006735,6.735000000000001e-05,2.44e-09,4.939635614091387e-05,0.006493,0.4576036,0.181,0.00053
630,0.0006606,6.606e-05,2.678e-09,5.174939613174245e-05,0.008295,0.4576036,0.123,0.00053
640,0.0006482,6.482e-05,7.355e-09,8.576129663198896e-05,0.003083,0.4576036,0.463,0.00052
650,0.0006311,6.311e-05,5.809e-09,7.621679604916492e-05,0.006375,0.4576036,0.214,0.00051
660,0.0006236,6.235999999999999e-05,4.3e-09,6.557438524302e-05,0.003191,0.4576036,0.668,0.00051
670,0.0006082,6.0820000000000004e-05,2.879e-09,5.365631370118525e-05,0.002845,0.4576036,0.548,0.0005
680,0.0005978,5.978e-05,1.241e-09,3.5227829907617075e-05,0.006031,0.4576036,0.254,0.0005
690,0.0005943,5.943e-05,2.524e-09,5.023942674832188e-05,0.001565,0.4576036,0.72,0.0005
700,0.0005814,5.814e-05,1.394e-09,3.733630940518894e-05,0.006798,0.4576036,0.228,0.0005
710,0.0005724,5.724e-05,1.281e-09,3.579106033634656e-05,0.009769,0.4576036,0.116,0.0005
720,0.0005645,5.645e-05,2.682e-09,5.1788029504896206e-05,0.003046,0.4576036,0.482,0.00049
730,0.0005531,5.531e-05,3.906e-09,6.249799996799898e-05,0.0009015,0.4576036,1.03,0.00048
740,0.0005458,5.458e-05,4.052e-09,6.365532185135819e-05,0.009658,0.4576036,0.104,0.00048
750,0.0005379,5.379e-05,1.426e-09,3.7762415176998414e-05,0.004969,0.4576036,0.323,0.00047
760,0.0005287,5.287e-05,4.286e-09,6.546754921333163e-05,0.0009325,0.4576036,1.01,0.00047
770,0.0005187,5.1869999999999996e-05,6.873e-09,8.290355842785036e-05,0.0009299,0.4576036,1.0,0.00047
780,0.0005111,5.1110000000000004e-05,1.519e-09,3.8974350539810154e-05,0.005766,0.4576036,0.163,0.00046
790,0.0005027,5.0270000000000005e-05,2.382e-09,4.880573736764972e-05,0.006879,0.4576036,0.147,0.00046
800,0.0005016,5.016000000000001e-05,2.972e-09,5.451605268175604e-05,0.003474,0.4576036,0.555,0.00045
810,0.0004912,4.9120000000000004e-05,2.999e-09,5.476312628037227e-05,0.003825,0.4576036,0.342,0.00045
820,0.0004856,4.8559999999999996e-05,2.425e-09,4.924428900898052e-05,0.003547,0.4576036,0.498,0.00045
830,0.0004737,4.737e-05,5.941e-09,7.707788269017255e-05,0.0007561,0.4576036,0.965,0.00044
840,0.0004689,4.689e-05,9.346e-09,9.667471230885562e-05,0.001017,0.4576036,0.96,0.00044
850,0.0004616,4.616e-05,3.466e-09,5.88727441181401e-05,0.00571,0.4576036,0.172,0.00044
860,0.000456,4.5600000000000004e-05,3.154e-09,5.616048432839589e-05,0.003663,0.4576036,0.302,0.00043
870,0.000452,4.52e-05,3.386e-09,5.8189346103904625e-05,0.001547,0.4576036,0.944,0.00043
880,0.0004452,4.452e-05,1.207e-09,3.474190553208042e-05,0.006224,0.4576036,0.0953,0.00043
890,0.0004394,4.394e-05,3.293e-09,5.738466694161429e-05,0.004437,0.4576036,0.223,0.00043
900,0.0004337,4.337e-05,1.782e-09,4.221374183841087e-05,0.003858,0.4576036,0.296,0.00042
910,0.0004318,4.3179999999999997e-05,3.345e-09,5.783597496368501e-05,0.001525,0.4576036,0.839,0.00042
920,0.000426,4.26e-05,2.447e-09,4.9467160824126544e-05,0.002457,0.4576036,0.69,0.00042
930,0.00042,4.2000000000000004e-05,3.44e-09,5.865151319446072e-05,0.004111,0.4576036,0.352,0.00041
940,0.0004187,4.187e-05,5.264e-10,2.294340863951998e-05,0.003442,0.4576036,0.513,0.00041
950,0.0004154,4.154e-05,5.861e-09,7.655716818169282e-05,0.001023,0.4576036,0.904,0.00041
960,0.0004074,4.074e-05,8.638e-10,2.939047464740915e-05,0.005268,0.4576036,0.196,0.00041
970,0.0004029,4.0289999999999995e-05,1.434e-09,3.786819245752298e-05,0.005944,0.4576036,0.133,0.0004
980,0.0003974,3.974e-05,4.46e-09,6.6783231428256e-05,0.005314,0.4576036,0.16,0.0004
990,0.0003942,3.942e-05,7.062e-10,2.6574423794317724e-05,0.001961,0.4576036,0.454,0.0004
1000,0.0003922,3.922e-05,3.816e-09,6.1773780845922e-05,0.001727,0.4576036,0.969,0.00039
1010,0.000385,3.85e-05,1.028e-09,3.20624390837628e-05,0.002778,0.4576036,0.338,0.00039
1020,0.000381,3.81e-05,4.269e-09,6.533758489567854e-05,0.005682,0.4576036,0.118,0.00039
1030,0.0003795,3.795e-05,2.262e-09,4.756048780237646e-05,0.002507,0.4576036,0.49,0.00039
1040,0.0003747,3.747e-05,1.597e-09,3.996248240537617e-05,0.005124,0.4576036,0.155,0.00039
1050,0.0003712,3.7120000000000004e-05,2.872e-09,5.3591044027897046e-05,0.005757,0.4576036,0.096,0.00038
1060,0.0003704,3.704e-05,2.862e-09,5.349766350038102e-05,0.001451,0.4576036,0.855,0.00038
1070,0.0003643,3.643e-05,3.638e-09,6.0315835400000886e-05,0.00719,0.4576036,0.0714,0.00038
1080,0.0003606,3.606e-05,1.148e-09,3.388214869219483e-05,0.004452,0.4576036,0.203,0.00038
1090,0.0003581,3.581e-05,2.681e-09,5.177837386399847e-05,0.0007939,0.4576036,1.02,0.00037
1100,0.000354,3.54e-05,2.049e-09,4.52658811910251e-05,0.0007252,0.4576036,1.02,0.00037
1110,0.0003506,3.506e-05,4.717e-09,6.86804193347711e-05,0.0005983,0.4576036,1.01,0.00037
1120,0.0003517,3.517e-05,1.419e-09,3.7669616403674727e-05,0.001756,0.4576036,0.688,0.00037
1130,0.0003443,3.443e-05,1.061e-09,3.257299494980466e-05,0.006056,0.4576036,0.123,0.00037
1140,0.0003433,3.433e-05,1.282e-09,3.5805027579936314e-05,0.006467,0.4576036,0.111,0.00037
1150,0.00034,3.4e-05,3.811e-09,6.173329733620262e-05,0.005691,0.4576036,0.0917,0.00036
1160,0.0003362,3.362e-05,9.302e-10,3.049918031685442e-05,0.004242,0.4576036,0.26,0.00036
1170,0.0003347,3.347e-05,1.278e-09,3.5749125863438954e-05,0.007316,0.4576036,0.0909,0.00036
1180,0.0003305,3.3050000000000004e-05,1.291e-09,3.593048844644336e-05,0.00563,0.4576036,0.146,0.00036
1190,0.000331,3.3100000000000005e-05,2.134e-09,4.619523784980439e-05,0.001008,0.4576036,0.976,0.00035
1200,0.0003263,3.2630000000000004e-05,9.005e-10,3.000833217624732e-05,0.003428,0.4576036,0.233,0.00035
1210,0.0003243,3.243e-05,7.289e-10,2.6998148084637212e-05,0.002723,0.4576036,0.339,0.00035
1220,0.0003216,3.2160000000000004e-05,1.206e-09,3.4727510708370675e-05,0.002655,0.4576036,0.254,0.00035
1230,0.0003203,3.2029999999999997e-05,8.387e-10,2.8960317677815623e-05,0.002666,0.4576036,0.448,0.00035
1240,0.0003171,3.171e-05,1.617e-09,4.02119385257662e-05,0.005339,0.4576036,0.129,0.00035
1250,0.000314,3.14e-05,5.637e-10,2.3742367194532227e-05,0.002904,0.4576036,0.251,0.00034
1260,0.0003112,3.112e-05,2.428e-09,4.927473997901967e-05,0.003559,0.4576036,0.206,0.00034
1270,0.0003124,3.124e-05,1.737e-09,4.167733196834942e-05,0.001704,0.4576036,0.709,0.00034
1280,0.0003079,3.079e-05,9.257e-10,3.0425318404250104e-05,0.004716,0.4576036,0.105,0.00034
1290,0.0003102,3.102e-05,3.021e-09,5.496362433464518e-05,0.002126,0.4576036,0.936,0.00034
1300,0.0003026,3.0259999999999998e-05,8.364e-10,2.892058090702882e-05,0.0031,0.4576036,0.297,0.00034
1310,0.000301,3.01e-05,5.247e-10,2.290633100258529e-05,0.002354,0.4576036,0.394,0.00033
1320,0.0002986,2.986e-05,6.949e-10,2.6360955976595385e-05,0.005458,0.4576036,0.0939,0.00033
1330,0.0002985,2.985e-05,6.48e-10,2.5455844122715712e-05,0.001951,0.4576036,0.838,0.00033
1340,0.0002927,2.9270000000000003e-05,1.545e-09,3.930648801406709e-05,0.003951,0.4576036,0.2,0.00033
1350,0.0002919,2.919e-05,5.925e-10,2.4341322889276168e-05,0.003335,0.4576036,0.124,0.00033
1360,0.0002896,2.896e-05,1.302e-09,3.608323710533743e-05,0.0004359,0.4576036,1.0,0.00033
1370,0.0002903,2.903e-05,2.168e-09,4.6561786907291264e-05,0.001366,0.4576036,0.998,0.00033
1380,0.0002864,2.8640000000000004e-05,2.768e-09,5.261178575186362e-05,0.001204,0.4576036,0.747,0.00032
1390,0.0002857,2.857e-05,1.4e-09,3.7416573867739416e-05,0.001748,0.4576036,0.9,0.00032
1400,0.0002814,2.814e-05,2.122e-09,4.6065171225124086e-05,0.001017,0.4576036,0.987,0.00032
1410,0.0002802,2.802e-05,5.406e-10,2.325080643762706e-05,0.00468,0.4576036,0.121,0.00032
1420,0.0002799,2.7989999999999998e-05,6.985e-10,2.6429150572805022e-05,0.001516,0.4576036,0.979,0.00032
1430,0.0002768,2.768e-05,6.258e-10,2.5015994883274183e-05,0.005617,0.4576036,0.0991,0.00032
1440,0.0002747,2.747e-05,8.297e-10,2.8804513535208333e-05,0.004965,0.4576036,0.0816,0.00032
1450,0.0002736,2.736e-05,1.877e-09,4.332435804486894e-05,0.0006125,0.4576036,0.969,0.00032
1460,0.0002716,2.7159999999999997e-05,1.755e-09,4.1892720131306825e-05,0.005307,0.4576036,0.081,0.00032
1470,0.0002696,2.696e-05,9.631e-10,3.103385248402138e-05,0.004733,0.4576036,0.118,0.00032
1480,0.0002672,2.6719999999999998e-05,1.072e-09,3.27414110874898e-05,0.0006369,0.4576036,0.958,0.00031
1490,0.0002666,2.666e-05,3.83e-10,1.9570385790780927e-05,0.002358,0.4576036,0.445,0.00031
1500,0.0002644,2.6439999999999998e-05,1.034e-09,3.2155870381627055e-05,0.0049,0.4576036,0.129,0.00031
1510,0.0002608,2.608e-05,2.07e-09,4.54972526643093e-05,0.003654,0.4576036,0.206,0.00031
1520,0.0002616,2.616e-05,1.894e-09,4.3520110293977886e-05,0.00138,0.4576036,0.945,0.00031
