iter,obj_s,pde_obj_mse,feas_true,obj_for_plot,source
1090,nan,0.2999,nan,0.2999,PDE_obj_MSE
1100,nan,0.2999,nan,0.2999,PDE_obj_MSE
1110,nan,0.2999,nan,0.2999,PDE_obj_MSE
1120,nan,0.2999,nan,0.2999,PDE_obj_MSE
1130,nan,0.2999,nan,0.2999,PDE_obj_MSE
1140,nan,0.2999,nan,0.2999,PDE_obj_MSE
1150,nan,0.2999,nan,0.2999,PDE_obj_MSE
1160,nan,0.2999,nan,0.2999,PDE_obj_MSE
1170,nan,0.2999,nan,0.2999,PDE_obj_MSE
1180,nan,0.2999,nan,0.2999,PDE_obj_MSE
1190,nan,0.2999,nan,0.2999,PDE_obj_MSE
1200,nan,0.2999,nan,0.2999,PDE_obj_MSE
1210,nan,0.2999,nan,0.2999,PDE_obj_MSE
1220,nan,0.2999,nan,0.2999,PDE_obj_MSE
1230,nan,0.2999,nan,0.2999,PDE_obj_MSE
1240,nan,0.2999,nan,0.2999,PDE_obj_MSE
1250,nan,0.2999,nan,0.2999,PDE_obj_MSE
1260,nan,0.2999,nan,0.2999,PDE_obj_MSE
1270,nan,0.2999,nan,0.2999,PDE_obj_MSE
1280,nan,0.2999,nan,0.2999,PDE_obj_MSE
1290,nan,0.2999,nan,0.2999,PDE_obj_MSE
1300,nan,0.2999,nan,0.2999,PDE_obj_MSE
1310,nan,0.2999,nan,0.2999,PDE_obj_MSE
1320,nan,0.2999,nan,0.2999,PDE_obj_MSE
1330,nan,0.2999,nan,0.2999,PDE_obj_MSE
1340,nan,0.2999,nan,0.2999,PDE_obj_MSE
1350,nan,0.2999,nan,0.2999,PDE_obj_MSE
1360,nan,0.2999,nan,0.2999,PDE_obj_MSE
1370,nan,0.2999,nan,0.2999,PDE_obj_MSE
1380,nan,0.2999,nan,0.2999,PDE_obj_MSE
1390,nan,0.2999,nan,0.2999,PDE_obj_MSE
1400,nan,0.2999,nan,0.2999,PDE_obj_MSE
1410,nan,0.2999,nan,0.2999,PDE_obj_MSE
1420,nan,0.2999,nan,0.2999,PDE_obj_MSE
1430,nan,0.2999,nan,0.2999,PDE_obj_MSE
1440,nan,0.2999,nan,0.2999,PDE_obj_MSE
1450,nan,0.2999,nan,0.2999,PDE_obj_MSE
1460,nan,0.2999,nan,0.2999,PDE_obj_MSE
1470,nan,0.2999,nan,0.2999,PDE_obj_MSE
1480,nan,0.2999,nan,0.2999,PDE_obj_MSE
1490,nan,0.2999,nan,0.2999,PDE_obj_MSE
1500,nan,0.2999,nan,0.2999,PDE_obj_MSE
1510,nan,0.2999,nan,0.2999,PDE_obj_MSE
1520,nan,0.2999,nan,0.2999,PDE_obj_MSE
1530,nan,0.2999,nan,0.2999,PDE_obj_MSE
1540,nan,0.2999,nan,0.2999,PDE_obj_MSE
1550,nan,0.2999,nan,0.2999,PDE_obj_MSE
1560,nan,0.2999,nan,0.2999,PDE_obj_MSE
1570,nan,0.2999,nan,0.2999,PDE_obj_MSE
1580,nan,0.2999,nan,0.2999,PDE_obj_MSE
1590,nan,0.2999,nan,0.2999,PDE_obj_MSE
1600,nan,0.2999,nan,0.2999,PDE_obj_MSE
1610,nan,0.2999,nan,0.2999,PDE_obj_MSE
1620,nan,0.2999,nan,0.2999,PDE_obj_MSE
1630,nan,0.2999,nan,0.2999,PDE_obj_MSE
1640,nan,0.2999,nan,0.2999,PDE_obj_MSE
1650,nan,0.2999,nan,0.2999,PDE_obj_MSE
1660,nan,0.2999,nan,0.2999,PDE_obj_MSE
1670,nan,0.2999,nan,0.2999,PDE_obj_MSE
1680,nan,0.2999,nan,0.2999,PDE_obj_MSE
1690,nan,0.2999,nan,0.2999,PDE_obj_MSE
1700,nan,0.2999,nan,0.2999,PDE_obj_MSE
1710,nan,0.2999,nan,0.2999,PDE_obj_MSE
1720,nan,0.2999,nan,0.2999,PDE_obj_MSE
1730,nan,0.2999,nan,0.2999,PDE_obj_MSE
1740,nan,0.2999,nan,0.2999,PDE_obj_MSE
1750,nan,0.2999,nan,0.2999,PDE_obj_MSE
1760,nan,0.2999,nan,0.2999,PDE_obj_MSE
1770,nan,0.2999,nan,0.2999,PDE_obj_MSE
1780,nan,0.2999,nan,0.2999,PDE_obj_MSE
1790,nan,0.2999,nan,0.2999,PDE_obj_MSE
1800,nan,0.2999,nan,0.2999,PDE_obj_MSE
1810,nan,0.2999,nan,0.2999,PDE_obj_MSE
1820,nan,0.2999,nan,0.2999,PDE_obj_MSE
1830,nan,0.2999,nan,0.2999,PDE_obj_MSE
1840,nan,0.2999,nan,0.2999,PDE_obj_MSE
1850,nan,0.2999,nan,0.2999,PDE_obj_MSE
1860,nan,0.2999,nan,0.2999,PDE_obj_MSE
1870,nan,0.2999,nan,0.2999,PDE_obj_MSE
1880,nan,0.2999,nan,0.2999,PDE_obj_MSE
1890,nan,0.2999,nan,0.2999,PDE_obj_MSE
1900,nan,0.2999,nan,0.2999,PDE_obj_MSE
1910,nan,0.2999,nan,0.2999,PDE_obj_MSE
1920,nan,0.2999,nan,0.2999,PDE_obj_MSE
