iter,obj_mse,feas_mse,pde_con_mse,bcv_mse,bcd_mse,ic_mse
550,0.00079,4.763e-09,2.2200999999999998e-08,5.12656e-11,7.396000000000001e-11,2.8561e-10
560,0.0007803,3.831e-09,1.8225e-08,4.8302500000000006e-11,7.039209999999999e-11,2.8223999999999995e-10
570,0.0007586,6.792e-09,1.8768999999999998e-08,4.5427599999999996e-11,6.93889e-11,2.7888999999999995e-10
580,0.000738,3.45e-09,1.2321e-08,5.3582400000000006e-11,7.691290000000002e-11,2.7556000000000003e-10
590,0.0007232,2.338e-09,2.4963999999999998e-08,4.2380100000000006e-11,6.756839999999999e-11,2.6895999999999997e-10
600,0.0007046,8.167e-09,3.6481e-08,4.07044e-11,6.69124e-11,2.6569e-10
610,0.0006889,4.198e-09,9.46729e-09,3.893760000000001e-11,6.496360000000001e-11,2.592099999999999e-10
620,0.0006735,2.44e-09,1.3225000000000001e-08,3.83161e-11,6.577210000000001e-11,2.56e-10
630,0.0006606,2.678e-09,2.6569e-08,3.81924e-11,6.577210000000001e-11,2.5281000000000003e-10
640,0.0006482,7.355e-09,1.7956000000000002e-08,3.6723599999999994e-11,6.304360000000001e-11,2.4648999999999994e-10
650,0.0006311,5.809e-09,1.5625e-08,3.52836e-11,6.41601e-11,2.4336e-10
660,0.0006236,4.3e-09,2.0164e-08,3.20356e-11,6.05284e-11,2.3716000000000004e-10
670,0.0006082,2.879e-09,1.3225000000000001e-08,3.54025e-11,6.115239999999999e-11,2.3408999999999996e-10
680,0.0005978,1.241e-09,1.3456e-08,3.62404e-11,5.99076e-11,2.2800999999999997e-10
690,0.0005943,2.524e-09,5.944410000000001e-09,3.73321e-11,6.03729e-11,2.2800999999999997e-10
700,0.0005814,1.394e-09,2.1904e-08,3.18096e-11,5.80644e-11,2.2201e-10
710,0.0005724,1.281e-09,2.3104000000000003e-08,3.1359999999999996e-11,5.79121e-11,2.1904000000000003e-10
720,0.0005645,2.682e-09,1.0201e-08,2.916e-11,5.882889999999999e-11,2.1316000000000002e-10
730,0.0005531,3.906e-09,1.4161000000000002e-08,2.8515599999999995e-11,5.53536e-11,2.1025e-10
740,0.0005458,4.052e-09,1.4161000000000002e-08,2.704e-11,5.625e-11,2.0449e-10
750,0.0005379,1.426e-09,9.409e-09,2.8622499999999996e-11,5.446439999999999e-11,2.0164e-10
760,0.0005287,4.286e-09,8.136039999999999e-09,2.6728899999999996e-11,5.34361e-11,1.9881e-10
770,0.0005187,6.873e-09,8.100000000000001e-09,2.6832400000000005e-11,5.27076e-11,1.9321000000000002e-10
780,0.0005111,1.519e-09,9.486759999999999e-09,2.5704899999999997e-11,5.14089e-11,1.9044e-10
790,0.0005027,2.382e-09,1.21e-08,2.8729600000000002e-11,5.16961e-11,1.8768999999999997e-10
800,0.0005016,2.972e-09,2.4336e-08,2.970250000000001e-11,5.27076e-11,1.8225e-10
810,0.0004912,2.999e-09,6.2409999999999994e-09,2.64196e-11,5.01264e-11,1.7689e-10
820,0.0004856,2.425e-09,1.4884e-08,2.4108099999999997e-11,5.0552099999999993e-11,1.7161e-10
830,0.0004737,5.941e-09,9.04401e-09,2.29441e-11,4.9e-11,1.6899999999999999e-10
840,0.0004689,9.346e-09,7.920999999999999e-09,2.47009e-11,4.8163599999999996e-11,1.6383999999999997e-10
850,0.0004616,3.466e-09,1.0201e-08,2.2372899999999996e-11,4.71969e-11,1.6129000000000002e-10
860,0.000456,3.154e-09,5.6550399999999995e-09,2.1344399999999998e-11,4.6922499999999994e-11,1.5625e-10
870,0.000452,3.386e-09,1.3225000000000001e-08,2.2372899999999996e-11,4.63761e-11,1.5376e-10
