step,time_sec,lr,total,grad_norm,phi_pde,ts_pde,tf_pde,phi_left,phi_neumann,ts_neumann,tf_bottom,tf_neumann,ic_phi,ic_ts,ic_tf,interface_T,interface_flux,pde_mult,bc_mult,ic_mult,interface_mult
1,24.186568021774292,0.0009999999802607915,170.24673684310858,1718.252586635679,1.1884052804182592,9.604613036465377,0.1562591568913132,1.2483777615567084,0.5076083238323398,0.7804448496964528,2.332624350274523,10.582290105348182,0.16513005987918683,0.13675500820206973,0.5218540905799485,0.9194303785821827,0.41543890843501396,0.20040000000000002,1.0,0.99975,0.20040000000000002
100,29.024476051330566,0.0009998026241462927,3.5844128814025513,63.00184837530026,0.47883269058379385,8.477817078983602,0.015212608472767786,0.02255468879668824,0.030490095381029318,0.02474416462016447,0.0005946764542940899,0.0018253509423318012,0.024441080216353817,0.0018310216945179542,0.00028403767127059467,0.005808534848966282,0.048168102812565436,0.24000000000000002,1.0,0.975,0.24000000000000002
200,33.88986778259277,0.0009992106913713087,1.3648405933857808,66.0630358530548,0.992874386775934,0.8837975259962956,0.014898856286855491,0.00887699906983649,0.01412421306590153,0.04024131752880501,0.001715962168924483,0.004956448413551151,0.017885624839171266,0.0001947218776781021,0.0006014009974424554,0.00330835832411648,0.007433905838371798,0.28,1.0,0.95,0.28
300,38.76207208633423,0.0009982247858412322,1.1459525702061037,86.73081921375659,0.913529235592134,0.5516092327544424,0.005838724026985041,0.006479162640757078,0.007728195702332856,0.03897285541487831,0.0011233735130824914,0.002591538631520212,0.00655988317828148,0.0011374607508234647,0.0012117594409707623,0.003190833502448153,0.01586159226051201,0.32,1.0,0.925,0.32
400,43.63695812225342,0.0009968458805257913,1.0536396562300918,92.56360235212446,0.8665533764619497,0.8414545274051739,0.005831496193892359,0.005926948542294532,0.03207441367480544,0.003005047975077274,0.0006441711293162888,0.000953164938718885,0.0063669210774586794,0.0002977438540236126,8.209393466198492e-05,0.000900379803326262,0.0015402783277879907,0.36000000000000004,1.0,0.9,0.36000000000000004
500,48.53770899772644,0.0009950753362380552,0.834301838422551,49.06447242964733,0.7114831894087248,0.2842908318740361,0.01348032838254418,0.005850916108903009,0.004839199875809283,0.004653312234830257,0.0033748649711006252,0.004772712847457183,0.004636854948682533,0.0007486027966498035,0.0024920545940074457,0.0017276129462066715,0.0017955865208078227,0.4,1.0,0.875,0.4
600,53.4391233921051,0.0009929149002914756,0.8406808676224704,67.99305529876277,0.6232030708481485,0.17068275318670775,0.012269926697257422,0.005818829255324613,0.00474807623342965,0.010710719858803869,0.002737243911780986,0.0018348960454613772,0.0037018090947510763,0.0007807630876746972,0.0009403747400475277,0.002642289938639474,0.00802035050563045,0.44,1.0,0.85,0.44
700,58.34327268600464,0.0009903667047754991,0.7635466880269075,60.46695046461768,0.5739018900133073,0.38027368975148945,0.014677089647895724,0.004100307367826381,0.012732054849745449,0.002934884133696249,0.0011571370604989348,0.0007903343656329617,0.003694363376707321,0.00013297553384948563,1.141258615152919e-05,0.000874060578593773,0.0018789343186702873,0.48000000000000004,1.0,0.825,0.48000000000000004
800,63.249067306518555,0.0009874332644514525,0.8019603583544835,71.53548155476577,0.5013986377312629,0.3542469846939288,0.012519986569497599,0.0046546554321663484,0.01403543803289093,0.004005482518247356,0.0011574574907912759,0.00157534746455545,0.00580830248017395,0.00026748278542830766,0.0008290011143136319,0.0008339928219151055,0.001652614238792162,0.52,1.0,0.8,0.52
900,68.1593337059021,0.0009841174742707772,1.0671290820413157,108.10032778172749,0.5289241912330547,0.11807749354720984,0.013857104335440944,0.006515197130438374,0.0033561927650466103,0.023983005180826904,0.0035684978033290278,0.004443170173210291,0.005255600910701586,0.0005902182773241988,0.0028352946437388074,0.0026404814388217646,0.011545703290896225,0.56,1.0,0.775,0.56
1000,73.07787561416626,0.0009804226065180616,0.7920596527138168,60.65256576796469,0.44351809240976003,0.08473691268977432,0.01715016215006695,0.0051958491970193026,0.005243282038738504,0.0044584904549599,0.0011048649341857323,0.0013334509652829475,0.00420648426380191,0.0015906660350725936,0.0015970769991966887,0.003840958471925022,0.005071410692971529,0.6000000000000001,1.0,0.75,0.6000000000000001
1100,77.99920082092285,0.0009763523075816903,0.8624852318658287,83.06316534454727,0.4433214659869029,0.06865210692136414,0.009353148459549567,0.006299250386857706,0.0031790541360212296,0.03431163343046264,0.0013967760627382852,0.001574029081044126,0.004673747065544781,0.000137963194291526,0.00014394138639400959,0.002013732075249965,0.0022478089719917323,0.6400000000000001,1.0,0.725,0.6400000000000001
1200,82.91963911056519,0.0009719105943553005,0.753687839745663,67.85545687964037,0.3820582038155227,0.08148178305022827,0.007882256319194982,0.00843542744219386,0.004541616471812265,0.00630784852120651,0.0029665993376894076,0.0010641658355189736,0.0038810610333642926,0.000757527517227495,5.1197182628376714e-05,0.0010921396000902123,0.0005750570301776355,0.6799999999999999,1.0,0.7,0.6799999999999999
1300,87.84188461303711,0.0009671018502735925,0.7018540950401957,72.53629594979147,0.3426342394957739,0.0752732742284482,0.006236742176308648,0.009877715537618093,0.004299820407469703,0.00622587458059935,0.0005654363678517385,0.0011963474912733741,0.0038612192502540214,0.00029576170712479607,9.234426031399506e-05,0.0008930251748343163,0.0004839208688200956,0.72,1.0,0.675,0.72
1400,92.76689004898071,0.0009619308209864078,0.9280291150559499,94.1011913222588,0.30123677397617943,0.06863839246136672,0.006836367277546972,0.00713758966333218,0.004044931176872449,0.03376906864750011,0.0023693372948696374,0.003337597716892484,0.0062707301201070376,0.0014375551432776238,0.002737450534415033,0.00158465500809571,0.003933666876046186,0.76,1.0,0.6499999999999999,0.76
