x,y,t,phi_fuel_only,T_piecewise
0.0,0.0,1.0,1.0100604238958877,1.4586064656413538
0.0,0.00625,1.0,1.0103284400857944,1.458848766789719
0.0,0.0125,1.0,1.0106839955720544,1.4591792709289608
0.0,0.018750000000000003,1.0,1.0111281242487893,1.4595978383172326
0.0,0.025,1.0,1.0116618110525633,1.4601042753114624
0.0,0.03125,1.0,1.0122859874307504,1.4606983329557008
0.0,0.037500000000000006,1.0,1.0130015265883132,1.4613797055798143
0.0,0.043750000000000004,1.0,1.0138092385099338,1.4621480294130913
0.0,0.05,1.0,1.0147098647552906,1.4630028812176943
0.0,0.05625,1.0,1.0157040730262366,1.463943776947193
0.0,0.0625,1.0,1.016792451505753,1.4649701704357867
0.0,0.06875,1.0,1.0179755029698307,1.466081452124175
0.0,0.07500000000000001,1.0,1.0192536386748123,1.4672769478283612
0.0,0.08125,1.0,1.0206271720243412,1.4685559175580076
0.0,0.08750000000000001,1.0,1.022096312021794,1.469917554391331
0.0,0.09375,1.0,1.0236611565160447,1.4713609834137844
0.0,0.1,1.0,1.0253216852504972,1.4728852607281309
0.0,0.10625000000000001,1.0,1.0270777527277042,1.474489372543761
0.0,0.1125,1.0,1.0289290809044176,1.4761722343533767
0.0,0.11875000000000001,1.0,1.0308752517346509,1.477932690205424
0.0,0.125,1.0,1.0329156995813569,1.4797695120808183
0.0,0.13125,1.0,1.0350497035204604,1.481681399382708
0.0,0.1375,1.0,1.0372763795644595,1.4836669785481322
0.0,0.14375000000000002,1.0,1.0395946728363752,1.4857248027905348
0.0,0.15000000000000002,1.0,1.042003349728704,1.4878533519820913
0.0,0.15625,1.0,1.044500990086034,1.4900510326848426
0.0,0.1625,1.0,1.0470859794542169,1.4923161783394912
0.0,0.16875,1.0,1.0497565014433063,1.4946470496206137
0.0,0.17500000000000002,1.0,1.052510530256043,1.4970418349668293
0.0,0.18125000000000002,1.0,1.0553458234381885,1.4994986512941726
0.0,0.1875,1.0,1.0582599149117444,1.502015544900555
0.0,0.19375,1.0,1.0612501083567027,1.5045904925687918
0.0,0.2,1.0,1.0643134710116533,1.5072214028751265
0.0,0.20625000000000002,1.0,1.0674468279680873,1.5099061177095938
0.0,0.21250000000000002,1.0,1.0706467570375988,1.512642414013875
0.0,0.21875,1.0,1.073909584275302,1.5154280057415117
0.0,0.225,1.0,1.0772313802465423,1.5182605460444938
0.0,0.23125,1.0,1.080607957127327,1.5211376296892904
0.0,0.23750000000000002,1.0,1.0840348667316813,1.524056795704329
0.0,0.24375000000000002,1.0,1.0875073995613,1.52701553025984
0.0,0.25,1.0,1.091020584974227,1.5300112697797807
0.0,0.25625000000000003,1.0,1.0945691925697862,1.5330414042842588
0.0,0.2625,1.0,1.098147734886448,1.536103280959571
0.0,0.26875,1.0,1.101750471507641,1.5391942079515368
0.0,0.275,1.0,1.1053714146675575,1.5423114583763975
0.0,0.28125,1.0,1.10900433644465,1.545452274542002
0.0,0.28750000000000003,1.0,1.1126427776246324,1.5486138723705336
0.0,0.29375,1.0,1.1162800583073316,1.5517934460124354
0.0,0.30000000000000004,1.0,1.1199092903224916,1.5549881726396795
0.0,0.30625,1.0,1.1235233915086715,1.558195217404951
0.0,0.3125,1.0,1.1271151018965098,1.5614117385518185
0.0,0.31875000000000003,1.0,1.1306770018229675,1.5646348926594467
0.0,0.325,1.0,1.1342015319865684,1.5678618400040234
0.0,0.33125000000000004,1.0,1.1376810154353711,1.5710897500176526
0.0,0.3375,1.0,1.1411076814592864,1.574315806824237
0.0,0.34375,1.0,1.1444736913367495,1.5775372148306719
0.0,0.35000000000000003,1.0,1.1477711658627243,1.580751204350642
0.0,0.35625,1.0,1.150992214560793,1.5839550372373457
0.0,0.36250000000000004,1.0,1.1541289664570529,1.5871460125007673
0.0,0.36875,1.0,1.1571736022678825,1.5903214718844247
0.0,0.375,1.0,1.160118387827891,1.59347880537617
0.0,0.38125000000000003,1.0,1.1629557085588622,1.5966154566272908
0.0,0.3875,1.0,1.165678104755728,1.5997289282541418
0.0,0.39375000000000004,1.0,1.1682783074420828,1.602816786996682
0.0,0.4,1.0,1.1707492745260122,1.6058766687086168
0.0,0.40625,1.0,1.1730842269675261,1.608906283154413
0.0,0.41250000000000003,1.0,1.1752766846522662,1.6119034185892174
0.0,0.41875,1.0,1.177320501652895,1.6148659460986672
0.0,0.42500000000000004,1.0,1.179209900550104,1.6177918236767679
0.0,0.43125,1.0,1.1809395054800358,1.620679100021349
0.0,0.4375,1.0,1.182504373574352,1.6235259180281743
0.0,0.44375000000000003,1.0,1.1839000244636526,1.6263305179664758
0.0,0.45,1.0,1.1851224675244592,1.6290912403205686
0.0,0.45625000000000004,1.0,1.1861682265647933,1.6318065282841927
0.0,0.4625,1.0,1.187034361663447,1.6344749298963628
0.0,0.46875,1.0,1.1877184879030576,1.6370950998097147
0.0,0.47500000000000003,1.0,1.1882187907670965,1.639665800684685
0.0,0.48125,1.0,1.188534038005173,1.6421859042051277
0.0,0.48750000000000004,1.0,1.1886635878092715,1.6446543917134635
0.0,0.49375,1.0,1.1886073931851369,1.647070354465761
0.0,0.5,1.0,1.1883660024470186,1.6494329935095593
0.0,0.50625,1.0,1.1879405558099212,1.6517416191895873
0.0,0.5125000000000001,1.0,1.18733277810021,1.6539956502887658
0.0,0.51875,1.0,1.1865449676522484,1.6561946128140894
0.0,0.525,1.0,1.185579981504575,1.658338138439042
0.0,0.53125,1.0,1.1844412170532779,1.6604259626161453
0.0,0.5375,1.0,1.1831325903616552,1.6624579223750602
0.0,0.5437500000000001,1.0,1.1816585113633138,1.664433953823274
0.0,0.55,1.0,1.1800238562297802,1.666354089367919
0.0,0.55625,1.0,1.1782339372029038,1.6682184546784842
0.0,0.5625,1.0,1.1762944702163414,1.6700272654113932
0.0,0.56875,1.0,1.1742115406489297,1.6717808237181973
0.0,0.5750000000000001,1.0,1.1719915675654529,1.673479514559922
0.0,0.58125,1.0,1.1696412668073115,1.6751238018505785
0.0,0.5875,1.0,1.1671676132967903,1.6767142244531466
0.0,0.59375,1.0,1.1645778029143243,1.6782513920514688
0.0,0.6000000000000001,1.0,1.1618792142986716,1.679735980921397
0.0,0.6062500000000001,1.0,1.1590793709055867,1.6811687296242972
0.0,0.6125,1.0,1.156185903642064,1.6825504346455784
0.0,0.61875,1.0,1.1532065143709263,1.6838819460003447
0.0,0.625,1.0,1.1501489405552505,1.6851641628275305
0.0,0.6312500000000001,1.0,1.1470209212843754,1.6863980289930196
0.0,0.6375000000000001,1.0,1.1438301648937257,1.6875845287213211
0.0,0.64375,1.0,1.1405843183601112,1.6887246822742275
0.0,0.65,1.0,1.137290938623094,1.6898195416937836
0.0,0.65625,1.0,1.1339574659520029,1.6908701866256575
0.0,0.6625000000000001,1.0,1.13059119944789,1.6918777202376916
0.0,0.6687500000000001,1.0,1.1271992747404622,1.6928432652471477
0.0,0.675,1.0,1.1237886439123355,1.6937679600687496
0.0,0.68125,1.0,1.1203660576570886,1.694652955094344
0.0,0.6875,1.0,1.1169380496538655,1.6954994091135824
0.0,0.6937500000000001,1.0,1.113510923119822,1.6963084858837494
